Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please select your respective functional unit from the dropdown below.,Other (please specify),"Rank the below wellness activities in order of your preference and participation in the year 2024 (1 being the lowest, while 10 being the highest score)",Ranking wellness activities preference and participation(1 least 10 highest)- ZUMBA,Ranking wellness activities preference and participation(1 least 10 highest)- SWIMMING,Ranking wellness activities preference and participation(1 least 10 highest)- HIKING,Ranking wellness activities preference and participation(1 least 10 highest)- CYCLING,Ranking wellness activities preference and participation(1 least 10 highest)- RUNNING,Ranking wellness activities preference and participation(1 least 10 highest)- FOOTBALL,Ranking wellness activities preference and participation(1 least 10 highest)- MEN’ S CAVE,Ranking wellness activities preference and participation(1 least 10 highest)- LADIES CLUB,Ranking wellness activities preference and participation(1 least 10 highest)- BOOK CLUB,Ranking wellness activities preference and participation(1 least 10 highest)- DIET/NUTRITION PROGRAMS,Ranking wellness activities preference and participation(1 least 10 highest)- STAIRCASE/STEP CHALLENGE,Ranking wellness activities preference and participation(1 least 10 highest)- MEDITATION/YOGA/MUSIC,Ranking wellness activities preference and participation(1 least 10 highest)- QUIZ DAYS,Ranking wellness activities preference and participation(1 least 10 highest)- Other (please specify),Which of the above would you like to join as a champion or a committee member?,Champion/Committee inerested joining - ZUMBA,Champion/Committee inerested joining - SWIMMING,Champion/Committee inerested joining - HIKING,Champion/Committee inerested joining - CYCLING,Champion/Committee inerested joining - RUNNING,Champion/Committee inerested joining - FOOTBALL,Champion/Committee inerested joining - MEN'S CAVE,Champion/Committee inerested joining - LADIES CLUB,Champion/Committee inerested joining - BOOK CLUB,Champion/Committee inerested joining - DIET/NUTRITION PROGRAMS,Champion/Committee inerested joining - STAIRCASE/STEP CHALLENGE,Champion/Committee inerested joining - MEDITATION/YOGA/MUSIC,Champion/Committee inerested joining - QUIZ DAYS,Please reflect on the Mental wellness-related issues listed below and tick the areas you would  like us to address in our regular wellness sessions (tick more than one option).,Mental wellness issues requested to adress - Work/job-related stressors,Mental wellness issues requested to adress - Building Healthy families,Mental wellness issues requested to adress - Emotional Wellbeing,Mental wellness issues requested to adress - Financial Wellbeing,"Mental wellness issues requested to adress - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental wellness issues requested to adress - Substance and Drug Dependence,Mental wellness issues requested to adress - Healthy Relationships,Mental wellness issues requested to adress - Unresolved Childhood Difficulties,Mental wellness issues requested to adress - Anxiety and Depression,Mental wellness issues requested to adress - Work-life balance,Mental wellness issues requested to adress - Lifestyle diseases management,Mental wellness issues requested to adress - Effective Parenting skills (Managing children and teenagers),Mental wellness issues requested to adress - Other (please specify),Which of the following training programs would you like to attend?,Training programs interested joining - Mental Health Peer counsellor,Training programs interested joining - Baby minder trainings (training for your nannies),Training programs interested joining - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training programs interested joining - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training programs interested joining - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health and wellbeing clubs interested joining - Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Health and wellbeing clubs interested joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health and wellbeing clubs interested joining - Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",Health and wellbeing clubs interested joining - Other (please specify)
114506052686.0,I Agree (Continue with Survey),Female,50+ years,"Faculty  (Teachers, Teaching Support, Careers, Entrepreneurship)",,10,10,10,10,1,10,1,10,10,10,10,10,10,10,,GYM/AEROBICS,ZUMBA,,,,RUNNING,,,LADIES CLUB,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,MEDITATION/YOGA/MUSIC,QUIZ DAYS,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114506043314.0,I Agree (Continue with Survey),Male,41-45 years,Landscaping,,7,7,5,5,5,6,4,5,,3,7,6,5,3,,,,,,,RUNNING,,,,,,,,,,,Building Healthy families,,,,,,,,,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
114506044971.0,I Agree (Continue with Survey),Male,36-40 years,"Faculty  (Teachers, Teaching Support, Careers, Entrepreneurship)",,3,3,7,8,3,3,5,10,,8,4,3,4,5,,,,,,,,,MEN'S CAVE,,BOOK CLUB,,,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
114506038164.0,I Agree (Continue with Survey),Male,36-40 years,Hospitality,,5,5,8,9,9,8,1,9,,8,10,9,9,8,,GYM/AEROBICS,,SWIMMING,,,,,,,,,,,QUIZ DAYS,,Work/job-related stressors,,,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,Anxiety and Depression,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,,,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114506010487.0,I Agree (Continue with Survey),Female,31-35 years,Facilities,,9,,,7,,3,,,,,,,,5,,GYM/AEROBICS,,,,,,,,LADIES CLUB,,,,,QUIZ DAYS,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,Baby minder trainings (training for your nannies),,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114506006722.0,I Agree (Continue with Survey),Male,41-45 years,"Faculty  (Teachers, Teaching Support, Careers, Entrepreneurship)",,2,10,1,10,1,9,1,1,,1,6,1,1,1,,,,,HIKING,,,,,,,,,,,,Work/job-related stressors,,,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,,Work-life balance,Lifestyle diseases management,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,I love this,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
114505980784.0,I Agree (Continue with Survey),Female,41-45 years,"Faculty  (Teachers, Teaching Support, Careers, Entrepreneurship)",,2,4,10,5,10,10,10,10,,,10,6,10,5,,,,SWIMMING,,,,,,,BOOK CLUB,,,MEDITATION/YOGA/MUSIC,,,,Building Healthy families,,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,Baby minder trainings (training for your nannies),,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114505944998.0,I Agree (Continue with Survey),Male,31-35 years,HR /Admin,,10,2,1,5,5,2,4,5,1,4,3,4,5,5,,GYM/AEROBICS,,,,,,,,,,,,,,,,,,Financial Wellbeing,,,,,,,,,,,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114505976964.0,I Agree (Continue with Survey),Male,26-30 years,"Faculty  (Teachers, Teaching Support, Careers, Entrepreneurship)",,5,10,6,8,4,3,5,7,,9,9,4,10,4,,,,,,,,,,,BOOK CLUB,,,,,,,,,Financial Wellbeing,,,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
114505975280.0,I Agree (Continue with Survey),Male,26-30 years,Tertiary,,1,1,1,9,1,1,1,1,1,1,1,5,1,1,,,,,HIKING,,,,,,,,STAIRCASE/STEP CHALLENGE,,,,,,,,,,,,,Work-life balance,Lifestyle diseases management,,,,,,,,,,,,,None 
114505959386.0,I Agree (Continue with Survey),Male,41-45 years,"Faculty  (Teachers, Teaching Support, Careers, Entrepreneurship)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114505954505.0,I Agree (Continue with Survey),Female,36-40 years,Hospitality,,,,,,,,,,,,,,,,,,ZUMBA,,,,,,,LADIES CLUB,,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,,,,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114505937392.0,I Agree (Continue with Survey),Male,41-45 years,"Faculty  (Teachers, Teaching Support, Careers, Entrepreneurship)",,5,5,1,5,5,5,5,2,1,2,8,5,6,5,,,,,HIKING,,,,,,,,,,,,Work/job-related stressors,,,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114505944020.0,I Agree (Continue with Survey),Male,36-40 years,"Faculty  (Teachers, Teaching Support, Careers, Entrepreneurship)",,6,7,5,6,7,3,3,8,1,4,8,6,8,5,,,ZUMBA,,,CYCLING,,,MEN'S CAVE,,,DIET/NUTRITION PROGRAMS,,,,Personal issues,Work/job-related stressors,,,Financial Wellbeing,,,,,,Work-life balance,Lifestyle diseases management,,,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114505941520.0,I Agree (Continue with Survey),Male,36-40 years,"Student Life (Residential, Sports)",,1,1,1,10,1,3,1,1,1,1,1,3,3,3,,,,,HIKING,,,,MEN'S CAVE,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,,Personal issues,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,Unresolved Childhood Difficulties,,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
114505939895.0,I Agree (Continue with Survey),Female,50+ years,"Student Life (Residential, Sports)",,,,,,,,,,10,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All of the above,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114505938225.0,I Agree (Continue with Survey),Female,41-45 years,"Faculty  (Teachers, Teaching Support, Careers, Entrepreneurship)",,6,7,5,6,1,4,5,4,8,5,9,6,7,5,,,ZUMBA,SWIMMING,,,,,,LADIES CLUB,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,,,Financial Wellbeing,,,,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114505937184.0,I Agree (Continue with Survey),Female,31-35 years,ICT,,9,10,4,,6,8,1,6,10,4,10,10,10,8,,,ZUMBA,,,,,,,LADIES CLUB,,,STAIRCASE/STEP CHALLENGE,MEDITATION/YOGA/MUSIC,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,Baby minder trainings (training for your nannies),,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114505938680.0,I Agree (Continue with Survey),Male,31-35 years,"Security, Logistics and admissions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114505935390.0,I Agree (Continue with Survey),Female,36-40 years,Hospitality,,4,1,1,4,1,7,1,1,1,6,4,1,3,3,,GYM/AEROBICS,,,,,RUNNING,,,LADIES CLUB,BOOK CLUB,,,,,,Work/job-related stressors,,,Financial Wellbeing,,,,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114505936845.0,I Agree (Continue with Survey),Male,36-40 years,Hospitality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114505936155.0,I Agree (Continue with Survey),Male,36-40 years,Hospitality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114505934635.0,I Agree (Continue with Survey),Female,31-35 years,Hospitality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114505934476.0,I Agree (Continue with Survey),Male,36-40 years,Hospitality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114503879700.0,I Agree (Continue with Survey),Female,31-35 years,HR /Admin,,6,8,8,5,8,,1,1,7,7,7,7,9,6,,,,SWIMMING,,,,,,LADIES CLUB,,,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114502185367.0,I Agree (Continue with Survey),Male,41-45 years,HR /Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114502180439.0,I Agree (Continue with Survey),Male,Below 20 years,Brand & Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
