Respondent ID,Please select your gender ,Kindly select your age group,Please select your local business unit,"Overall, how do you rate the state of your mental well-being?",Please reflect on the mental wellness related issues listed below and select all the areas you would like us to address in our regular sessions.,Mental wellness issues requested to address - Emotional intelligence,Mental wellness issues requested to address - Financial constraints,Mental wellness issues requested to address - Trauma,Mental wellness issues requested to address - Work Life Balance,Mental wellness issues requested to address - Substance and Drug Dependence,Mental wellness issues requested to address - Bereavement and Loss,Mental wellness issues requested to address - Relationship Difficulties,Mental wellness issues requested to address - Unresolved Childhood Difficulties,Mental wellness issues requested to address - Anxiety and Depression,Mental wellness issues requested to address - Other (please specify),What challenges are you currently facing?  ,Current challenges facing employees - Fear of the unknown,Current challenges facing employees - Anxiety,Current challenges facing employees - Feeling overwhelmed and isolated,Current challenges facing employees - Fear of contracting Covid-19,Current challenges facing employees - Financial issues,Current challenges facing employees - Relationship issues,Current challenges facing employees - Fear of losing my job,Current challenges facing employees - Parenting,Current challenges facing employees - Other (please specify),"Over the last month, have you had difficulty sleeping?",Do you have trouble thinking clearly?,Do you cry more than usual?,Do you find it difficult to enjoy your daily activities?,Do you find it difficult to make decisions?,Are you unable to play a useful part in life?,Have you lost interest in things you previously enjoyed doing?,"To what extent do you agree with the following statement ""I feel I have nothing to look forward to""",Has the thought of ending your life been on your mind?,Do you feel tired all the time?,On what areas would you require support on?,Would you like us to connect you and/or your dependents with our professional counselors for support?  
118024101760.0,Female,25-34,PAUL,Very Poor,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,Relationship Difficulties,,Anxiety and Depression,,Work life balance,Fear of the unknown,Anxiety,,,Financial issues,Relationship issues,Fear of losing my job,,,No,Maybe,No,Sometimes,Sometimes,Sometimes,Yes,Agree,No,Yes,Finacial support,No
118024079354.0,Female,35-44,PAUL,Good,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,Relationship Difficulties,,Anxiety and Depression,,,,,,,,,,,none,No,No,No,No,No,No,No,Strongly disagree,No,No,,No
118024075775.0,Female,25-34,PAUL,Good,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,Bereavement and Loss,Relationship Difficulties,,Anxiety and Depression,,Work life balance,,,,,Financial issues,Relationship issues,,Parenting,,Yes,No,No,No,No,No,No,Disagree,No,Yes,,Yes
118024072142.0,Male,35-44,PLAZ,Excellent,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Work Life Balance,Substance and Drug Dependence,Bereavement and Loss,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,,Fear of the unknown,,,,Financial issues,,Fear of losing my job,,,Yes,Maybe,Yes,Sometimes,Sometimes,No,Yes,Neutral,No,Sometimes,Financial services,No
118024061601.0,Female,35-44,PAUL,Good,,Emotional intelligence,,,,,,,,,,Work life balance,,,,,,,,,,No,Maybe,No,Sometimes,No,No,Yes,Strongly disagree,No,No,Understand people better,No
118024057329.0,Male,25-34,PAUL,Fair,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,,,Work life balance,,,,,Financial issues,,,,,No,No,No,Sometimes,Sometimes,No,No,Strongly disagree,No,No,,No
118024053681.0,Female,25-34,PASL,Good,,,,,,,,,Unresolved Childhood Difficulties,,Nik,,Fear of the unknown,,,,,,,,,Yes,No,No,No,No,Yes,No,Disagree,No,No,Nik,No
118024051590.0,Female,25-34,PAUL,Fair,,Emotional intelligence,,,Work Life Balance,,,Relationship Difficulties,,Anxiety and Depression,,,Fear of the unknown,,Feeling overwhelmed and isolated,,,,,,,No,Maybe,Yes,Sometimes,Sometimes,Sometimes,Maybe,Neutral,No,Sometimes,,No
118024034721.0,Female,25-34,PAUL,Fair,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,Bereavement and Loss,,,Anxiety and Depression,,Work life balance,,,Feeling overwhelmed and isolated,,,,Fear of losing my job,,,No,Maybe,No,Sometimes,Yes,Sometimes,No,Disagree,No,Sometimes,work life balance,No
118024026825.0,Male,25-34,PAUL,Good,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,Anxiety and Depression,,Work life balance,Fear of the unknown,,,,,,Fear of losing my job,,,Yes,No,No,Sometimes,No,No,Maybe,Neutral,No,No,Financial Intellenge,No
118024001796.0,Female,25-34,PAUL,Fair,Work/job related stressors,,Financial constraints,,,,,,,,,Work life balance,,Anxiety,,,Financial issues,,,,,No,Yes,No,No,Sometimes,Sometimes,No,Strongly disagree,No,Sometimes,Financial constraints ,No
118023969295.0,Male,18-24,PAUL,Good,Work/job related stressors,,,,,,,,,,,Work life balance,,,,,,,,,,Yes,No,No,No,No,No,No,Disagree,No,Sometimes,nothing,No
118023968893.0,Female,25-34,PAUL,Good,,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,,,Work life balance,,,,,Financial issues,,,,,No,No,No,No,Sometimes,No,Maybe,Agree,No,No,Work-life balance,Yes
118023968834.0,Male,25-34,PAUL,Good,,,Financial constraints,,Work Life Balance,,,,,Anxiety and Depression,,Work life balance,,Anxiety,,,Financial issues,,,,,Yes,Maybe,No,Sometimes,Sometimes,Sometimes,Maybe,Strongly disagree,No,Sometimes," Anxiety and Depression, Financial constraints and Work life balance",Yes
118023968363.0,Male,35-44,PAUL,Good,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Work Life Balance,,,,,Anxiety and Depression,,Work life balance,Fear of the unknown,,Feeling overwhelmed and isolated,Fear of contracting Covid-19,Financial issues,,,Parenting,,Yes,Maybe,No,Sometimes,Sometimes,No,Yes,Strongly disagree,No,Sometimes,"Financial support, Feeling overwhelmed ",No
118023967179.0,Female,25-34,PAUL,Good,Work/job related stressors,,,Trauma,Work Life Balance,,Bereavement and Loss,,,,,Work life balance,,,,,Financial issues,,,,,No,No,No,No,No,No,No,Disagree,No,Sometimes,Self Development,No
118023966555.0,Female,25-34,PAUL,Good,Work/job related stressors,,Financial constraints,,,,,,,Anxiety and Depression,,,,,,,Financial issues,,,,,No,No,No,Sometimes,No,No,Maybe,Strongly disagree,No,Sometimes,Financial in regards to salary increment,No
118023966142.0,Female,45-54,PAUL,Excellent,,Emotional intelligence,,,,,,,,,,Work life balance,,,,,,,,,,No,No,No,No,No,No,No,Strongly disagree,No,No,Managing Stress,No
118023963693.0,Male,25-34,PAUL,Very Poor,Work/job related stressors,,Financial constraints,,Work Life Balance,,,,,,,Work life balance,,Anxiety,,,Financial issues,,,,,Yes,No,No,Yes,Yes,No,Yes,Agree,No,Sometimes,Work balance,Yes
118023962065.0,Female,25-34,PAUL,Good,Work/job related stressors,,Financial constraints,,Work Life Balance,,,,,,,Work life balance,,,,,Financial issues,,,,,No,Maybe,No,Sometimes,Sometimes,Sometimes,Yes,Neutral,No,Sometimes,Financial,No
118023958875.0,Female,25-34,PAUL,Good,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,Substance and Drug Dependence,Bereavement and Loss,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,Work life balance,,Anxiety,,,Financial issues,Relationship issues,Fear of losing my job,Parenting,,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes,Strongly disagree,No,Yes,"Stress, emotional intelligence, difficult relationships, worklife balance",Yes
118023957958.0,Female,25-34,PAUL,Good,,,,,Work Life Balance,,,,,,,,,,,,Financial issues,,,,,Yes,No,No,No,Sometimes,Sometimes,Yes,Disagree,Yes,Sometimes,Financial support,No
118023957343.0,Female,35-44,PLAK,Fair,Work/job related stressors,Emotional intelligence,Financial constraints,,,,,Relationship Difficulties,,Anxiety and Depression,,Work life balance,Fear of the unknown,Anxiety,Feeling overwhelmed and isolated,,Financial issues,,,,,Yes,Maybe,No,Yes,Sometimes,Sometimes,Yes,Neutral,Yes,Sometimes,"Financial, Emotional ",Yes
118023957191.0,Female,25-34,PAUL,Excellent,,,,,Work Life Balance,,,,,,,,,,,,,,,Parenting,,No,No,No,No,No,No,No,Strongly disagree,No,No,parenting,No
118023952863.0,Female,25-34,PLAZ,Fair,,,Financial constraints,,,,,Relationship Difficulties,Unresolved Childhood Difficulties,,,,,Anxiety,Feeling overwhelmed and isolated,,,Relationship issues,,,,No,Maybe,No,Sometimes,Sometimes,Sometimes,Maybe,Neutral,No,Yes,Anxiety and Financial issues ,Yes
118023952782.0,Male,25-34,PLAZ,Good,Work/job related stressors,,Financial constraints,,Work Life Balance,,,Relationship Difficulties,,,,Work life balance,,,,,,,,,,No,No,No,Sometimes,No,No,Yes,Strongly disagree,No,Sometimes,Work Life Balance,No
118023678702.0,Male,25-34,PLAZ,Poor,Work/job related stressors,,Financial constraints,Trauma,,,Bereavement and Loss,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,,Fear of the unknown,Anxiety,,,Financial issues,Relationship issues,,Parenting,Coupled with suicidal thoughts,Yes,Yes,No,Sometimes,Yes,Yes,Yes,Strongly agree,Yes,Yes,Emotional well being and decision making child hood trauma forgiveness,Yes
118023307970.0,Female,25-34,PAUL,Excellent,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,Relationship Difficulties,,Anxiety and Depression,,Work life balance,,,,,Financial issues,,,,Hindrances to my career growth,No,Maybe,No,No,No,No,No,Strongly disagree,No,Sometimes,Career growth and increased finances,No
118023307436.0,Female,25-34,PAUL,Excellent,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,Relationship Difficulties,,Anxiety and Depression,,Work life balance,,,,,Financial issues,,,,Hindrance to my career growth,No,Maybe,No,No,No,No,No,Strongly disagree,No,Sometimes,Career growth and increased finances,No
118023295189.0,Female,45-54,PAUL,Good,,Emotional intelligence,,,Work Life Balance,,,,,,,Work life balance,,,,,,,,,,No,No,No,Yes,No,No,Maybe,Disagree,No,Yes,work-life balance,Yes
118022955186.0,Male,25-34,PLAK,Fair,Work/job related stressors,,,,,,,,,,,Work life balance,,Anxiety,,,,,,,,Yes,No,No,Sometimes,No,No,Maybe,Agree,No,Yes,Work life balance,No
118022726074.0,Female,25-34,PAUL,Fair,Work/job related stressors,,,,Work Life Balance,,,,,Anxiety and Depression,,Work life balance,Fear of the unknown,,,,,Relationship issues,,,,No,Yes,No,Sometimes,Sometimes,Sometimes,Yes,Disagree,No,Yes,all the ticked above,Yes
118022684042.0,Male,35-44,PAUL,Excellent,,,Financial constraints,,,,,,,,,,,,,,Financial issues,,,,,No,No,No,Sometimes,No,No,Yes,Strongly disagree,No,Sometimes,Financial wellbeing,No
118022285640.0,Male,25-34,PLAZ,Poor,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Work Life Balance,Substance and Drug Dependence,,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,Work life balance,,Anxiety,Feeling overwhelmed and isolated,,Financial issues,Relationship issues,,,,Yes,Yes,No,Yes,No,No,Yes,Agree,No,Yes,Nil,No
118022283533.0,Male,35-44,PPMZ,Excellent,,,Financial constraints,,Work Life Balance,,,,,,,Work life balance,,,,,,,,,,No,No,No,No,No,,No,Strongly agree,No,No,Just work life balance will do,No
118022249800.0,Female,25-34,PLAZ,Poor,,,Financial constraints,Trauma,,Substance and Drug Dependence,Bereavement and Loss,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,,,,Feeling overwhelmed and isolated,,Financial issues,Relationship issues,,Parenting,,No,Yes,Yes,Yes,Yes,Sometimes,Yes,Agree,Yes,Yes,Shown above.,No
118022218456.0,Female,35-44,PAUL,Excellent,,,Financial constraints,,Work Life Balance,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,Strongly disagree,No,No,,No
118022145767.0,Female,25-34,PAUL,Good,,Emotional intelligence,,,,,,,,,,,Fear of the unknown,,,,,,,,,No,Maybe,No,No,Sometimes,Sometimes,Maybe,Strongly disagree,No,Sometimes,,No
118022104295.0,Male,25-34,PAUL,Excellent,,Emotional intelligence,,Trauma,Work Life Balance,,,Relationship Difficulties,,Anxiety and Depression,,Work life balance,,,,,Financial issues,,,,,No,No,No,Sometimes,No,No,No,Neutral,No,No,financial,No
118022092369.0,Female,25-34,PAUL,Poor,Work/job related stressors,,Financial constraints,,Work Life Balance,,,,,Anxiety and Depression,,Work life balance,Fear of the unknown,Anxiety,Feeling overwhelmed and isolated,,Financial issues,,,Parenting,,Yes,Maybe,No,Sometimes,Sometimes,Sometimes,Maybe,Neutral,No,Yes,,Yes
118022044267.0,Female,45-54,PLAZ,Fair,Work/job related stressors,,,,Work Life Balance,,,,,,,Work life balance,,Anxiety,,,,,,,,No,Maybe,No,Sometimes,Sometimes,Sometimes,Maybe,Neutral,No,Sometimes,Work balance ,No
118022033562.0,Female,35-44,PPMZ,Good,Work/job related stressors,Emotional intelligence,,,Work Life Balance,,,,,Anxiety and Depression,,Work life balance,,Anxiety,,,,,,,,Yes,No,Yes,Sometimes,No,No,No,Strongly disagree,No,Yes,Creating firm boundaries with respect to work life balance,No
118022027027.0,Male,35-44,PPMZ,Excellent,Work/job related stressors,,Financial constraints,,Work Life Balance,,Bereavement and Loss,,,Anxiety and Depression,,Work life balance,,Anxiety,,Fear of contracting Covid-19,,,Fear of losing my job,,,Yes,No,No,Sometimes,Sometimes,No,Maybe,Disagree,No,Sometimes,Staffing to have more manpower,No
118022023591.0,Male,35-44,PLAZ,Excellent,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,Anxiety and Depression,,Work life balance,,,Feeling overwhelmed and isolated,,Financial issues,,,,,No,Maybe,No,Sometimes,Sometimes,Sometimes,No,Disagree,No,Yes,Work life balance ,No
118022020141.0,Female,25-34,PLAZ,Fair,,,Financial constraints,,,,,Relationship Difficulties,,,,,,,,,Financial issues,,,Parenting,,No,Yes,Yes,Sometimes,Sometimes,No,No,Disagree,Yes,Sometimes,Finances ,Yes
118022003431.0,Female,45-54,PLAZ,Good,Work/job related stressors,,Financial constraints,,,,,,,,,,,,,,Financial issues,,,,,No,No,No,Sometimes,No,No,Maybe,Neutral,No,Sometimes,Financial related issues,Yes
118022003248.0,Male,35-44,PLAZ,Fair,Work/job related stressors,,,,Work Life Balance,,,,,Anxiety and Depression,"Balance , Work and School",Work life balance,,Anxiety,Feeling overwhelmed and isolated,,,,,,,Yes,No,No,Sometimes,No,No,No,Disagree,No,Sometimes,Work Life and School Balance,Yes
118021999349.0,Female,25-34,PLAZ,Poor,,,Financial constraints,Trauma,,Substance and Drug Dependence,Bereavement and Loss,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,,,,Feeling overwhelmed and isolated,,Financial issues,Relationship issues,,Parenting,,No,Yes,Yes,Yes,Yes,Sometimes,Yes,Agree,Yes,Yes,Shown above.,No
118021995487.0,Male,35-44,PLAZ,Good,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,,,Work life balance,,,Feeling overwhelmed and isolated,,,,,,,Yes,No,No,No,No,Yes,Yes,Disagree,No,Sometimes,Work Life Balance,No
118021993653.0,Male,25-34,PLAZ,Good,Work/job related stressors,Emotional intelligence,,,Work Life Balance,,,Relationship Difficulties,,Anxiety and Depression,,Work life balance,,,,,,,Fear of losing my job,,,No,No,No,Sometimes,Sometimes,Sometimes,Maybe,Disagree,No,Sometimes,Work life balance ,No
118021991938.0,Male,25-34,PAUL,Poor,Work/job related stressors,,Financial constraints,,Work Life Balance,,,,,,,Work life balance,,,,,Financial issues,,,,,Yes,Maybe,No,Yes,Sometimes,Yes,Yes,Agree,No,No,,No
118021991806.0,Female,25-34,PPMZ,Fair,,,Financial constraints,,,,,Relationship Difficulties,Unresolved Childhood Difficulties,,,,,,,,Financial issues,Relationship issues,,,,Yes,No,No,No,No,Yes,No,Strongly disagree,Yes,Yes,Emotional Support,Yes
118021990593.0,Male,45-54,PLAZ,Good,,,Financial constraints,,Work Life Balance,,,,,,,Work life balance,,,,,,,,,,No,No,No,No,No,No,No,Disagree,No,No,Investment strategies,Yes
118021989322.0,Male,18-24,PAUL,Fair,Work/job related stressors,,Financial constraints,,Work Life Balance,,,,,,,Work life balance,,,,,,,Fear of losing my job,,,No,Maybe,No,Sometimes,Sometimes,Sometimes,Yes,Agree,Yes,Yes,,
118021986352.0,Male,25-34,PAUL,Fair,Work/job related stressors,Emotional intelligence,Financial constraints,,,,,,Unresolved Childhood Difficulties,Anxiety and Depression,,Work life balance,Fear of the unknown,Anxiety,,,Financial issues,,,,,No,No,No,No,Sometimes,No,No,Strongly disagree,No,Sometimes,,No
118021984289.0,Male,25-34,PAUL,Good,,Emotional intelligence,,,Work Life Balance,,,,,Anxiety and Depression,,,,Anxiety,Feeling overwhelmed and isolated,,,Relationship issues,,,,No,Maybe,No,Sometimes,No,No,Maybe,Neutral,No,Sometimes,Financial support,No
118021982219.0,Female,25-34,PAUL,Good,,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,Anxiety and Depression,,,Fear of the unknown,,,,Financial issues,,,,,No,No,Yes,No,Sometimes,,No,Strongly disagree,Yes,Sometimes,,No
118021977283.0,Male,35-44,PAUL,Good,Work/job related stressors,,Financial constraints,,,,,,,,,,,,Feeling overwhelmed and isolated,,Financial issues,,,,,Yes,Yes,No,Sometimes,Sometimes,Sometimes,Yes,Disagree,No,No,Devt Plans,No
118021970328.0,Female,35-44,PAUL,Fair,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,Bereavement and Loss,Relationship Difficulties,,Anxiety and Depression,,Work life balance,Fear of the unknown,,Feeling overwhelmed and isolated,,Financial issues,Relationship issues,Fear of losing my job,Parenting,,Yes,Maybe,No,Sometimes,Sometimes,No,No,Strongly disagree,No,Sometimes,FINANCIAL AND HEALTH,No
118021965184.0,Female,45-54,PAUL,Excellent,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,Anxiety and Depression,,Work life balance,,Anxiety,,,Financial issues,,Fear of losing my job,,,No,Maybe,No,Sometimes,Sometimes,No,No,Strongly disagree,No,No,Managing Stress,No
118021964890.0,Male,25-34,PAUL,Fair,,,Financial constraints,,Work Life Balance,,,,,,,,,,,,Financial issues,,,,,Yes,Maybe,No,Sometimes,No,Sometimes,No,Neutral,No,Sometimes,financial,No
118021957035.0,Male,35-44,PLAZ,Excellent,,,,,Work Life Balance,Substance and Drug Dependence,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,Strongly disagree,No,No,Nil,No
118021947847.0,Female,25-34,PAUL,Good,,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,,,Work life balance,Fear of the unknown,,,,,,,,,No,No,No,No,Sometimes,No,No,Strongly disagree,No,Sometimes,,No
118021940522.0,Male,35-44,PLAZ,Good,,,Financial constraints,,Work Life Balance,,,,,Anxiety and Depression,,Work life balance,,,Feeling overwhelmed and isolated,,Financial issues,Relationship issues,,,,No,No,Yes,No,Sometimes,Sometimes,Yes,Strongly disagree,No,Sometimes,Financial Management,Yes
118021937691.0,Female,25-34,PLAZ,Good,,Emotional intelligence,Financial constraints,,Work Life Balance,,Bereavement and Loss,,Unresolved Childhood Difficulties,Anxiety and Depression,,Work life balance,,Anxiety,,,,Relationship issues,,,,Yes,Maybe,Yes,Yes,Sometimes,Sometimes,No,Disagree,No,No,,No
118021936035.0,Male,25-34,PLAZ,Excellent,,,,,Work Life Balance,,,,,,,Work life balance,,,,,,,,,,No,No,No,No,No,No,Maybe,Disagree,No,No,,No
118021933243.0,Female,25-34,PLAZ,Good,,Emotional intelligence,,,,,,,,,,,,,,,,,,Parenting,,No,No,No,No,No,No,No,Neutral,No,No,,No
118021932220.0,Female,35-44,PLAZ,Good,,,,,,,,,Unresolved Childhood Difficulties,,,,,Anxiety,,,,,,,,Yes,Maybe,No,No,No,No,No,Disagree,No,No,Self awareness ,Yes
118021930576.0,Male,25-34,PAUL,Good,Work/job related stressors,,Financial constraints,,,,,,,,,,Fear of the unknown,,,,,,,,,No,No,No,Sometimes,No,Sometimes,Maybe,Neutral,No,No,Having supervisors who are leaders not managers/dictators,No
118021928435.0,Male,25-34,PLAZ,Good,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Work Life Balance,,Bereavement and Loss,,,Anxiety and Depression,,Work life balance,Fear of the unknown,Anxiety,Feeling overwhelmed and isolated,Fear of contracting Covid-19,Financial issues,,Fear of losing my job,,,Yes,Maybe,No,Sometimes,Sometimes,No,Maybe,Neutral,No,Sometimes,Emotional intelligence ,Yes
118021927346.0,Female,25-34,PLAZ,Good,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,,,Work life balance,,,,,Financial issues,,,,,Yes,No,No,No,Sometimes,No,No,Strongly disagree,No,Sometimes,"Financial planning and management, work, academics and personal business development",Yes
118021927176.0,Male,25-34,PAUL,Good,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,,Unresolved Childhood Difficulties,,,Work life balance,,,,,Financial issues,,,,,No,No,No,Yes,Sometimes,No,Yes,Strongly disagree,No,Sometimes,financial support,No
118021926896.0,Male,25-34,PLAZ,Good,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,,,,,,,,,,,Parenting,,No,No,No,Sometimes,No,No,No,Strongly disagree,No,Sometimes,,No
118021926773.0,Female,25-34,PLAZ,Good,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,Bereavement and Loss,,,Anxiety and Depression,,Work life balance,Fear of the unknown,Anxiety,Feeling overwhelmed and isolated,,Financial issues,,,,,Yes,Maybe,Yes,Sometimes,Sometimes,No,Yes,Agree,No,Yes,"Dealing with loss, rejection, worklife balance and socialising",Yes
118021925902.0,Female,25-34,PLAZ,Good,,Emotional intelligence,,,,,,,,,,,,,,,,,,Parenting,,No,No,No,No,No,No,No,Neutral,No,No,Good parenting ,No
118021924759.0,Male,25-34,PLAZ,Good,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,Relationship Difficulties,,Anxiety and Depression,,Work life balance,Fear of the unknown,Anxiety,,,,Relationship issues,,,,No,Maybe,No,No,Sometimes,Sometimes,Maybe,Strongly disagree,No,Sometimes,Anxiety and focusing on things ,Yes
118021924677.0,Male,25-34,PLAZ,Excellent,Work/job related stressors,,Financial constraints,,Work Life Balance,,,,,Anxiety and Depression,,,,,,,Financial issues,,,,,No,No,No,Sometimes,Sometimes,No,No,Strongly disagree,No,No,Financial issues,No
118021924407.0,Female,35-44,PLAZ,Poor,Work/job related stressors,,Financial constraints,,Work Life Balance,,,,,,,Work life balance,,,,,,,,,,Yes,Maybe,No,Yes,Sometimes,Sometimes,Yes,Strongly disagree,No,Sometimes,Work balance ,Yes
118021923751.0,Male,25-34,PLAZ,Good,,Emotional intelligence,,,Work Life Balance,Substance and Drug Dependence,Bereavement and Loss,,Unresolved Childhood Difficulties,,,,,,,,Financial issues,,,,,No,No,No,No,No,No,No,Disagree,No,No,Financial education ,No
118021923325.0,Male,35-44,PLAZ,Good,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,Anxiety and Depression,,,,Anxiety,Feeling overwhelmed and isolated,,,,,,,Yes,Maybe,No,Sometimes,No,No,Maybe,Strongly disagree,No,Yes,,No
118021923313.0,Male,25-34,PAUL,Good,,Emotional intelligence,Financial constraints,,,,,,,Anxiety and Depression,,,,Anxiety,,,,,,Parenting,,Yes,Yes,No,Yes,Yes,No,No,Agree,Yes,Yes,,No
118021923229.0,Male,25-34,PLAZ,Fair,,,Financial constraints,,Work Life Balance,,,,,Anxiety and Depression,,Work life balance,,,,,Financial issues,,Fear of losing my job,,,Yes,No,No,Yes,No,Yes,Maybe,Neutral,No,Yes,FININCIAL,No
118021923219.0,Male,25-34,PAUL,Excellent,,Emotional intelligence,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,Yes,Strongly disagree,No,No,Financial Support,Yes
118021923002.0,Male,35-44,PLAZ,Good,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,Bereavement and Loss,,,Anxiety and Depression,,Work life balance,Fear of the unknown,,,,,,Fear of losing my job,,,No,No,No,No,Sometimes,No,No,Neutral,Yes,Sometimes,Emotional intelligence and stress management ,No
118021922644.0,Female,45-54,PLAZ,Fair,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,Relationship Difficulties,,Anxiety and Depression,,,Fear of the unknown,Anxiety,Feeling overwhelmed and isolated,Fear of contracting Covid-19,Financial issues,,,,,Yes,Maybe,No,Sometimes,Sometimes,No,Maybe,Disagree,Yes,Sometimes,Anxiety,Yes
118021922514.0,Male,35-44,PLAZ,Poor,,,,,Work Life Balance,,,,,,,,,,Feeling overwhelmed and isolated,,,,,,,Yes,Maybe,No,Yes,Yes,Yes,Yes,Strongly disagree,No,Sometimes,Work life balance,No
118021922457.0,Female,45-54,PLAZ,Fair,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,Relationship Difficulties,,Anxiety and Depression,,,Fear of the unknown,Anxiety,Feeling overwhelmed and isolated,Fear of contracting Covid-19,Financial issues,,,,,Yes,Maybe,No,Sometimes,Sometimes,No,Maybe,Disagree,Yes,Sometimes,Anxiety,Yes
118021922178.0,Male,25-34,PLAZ,Good,,Emotional intelligence,,,Work Life Balance,,,,,,,Work life balance,,,Feeling overwhelmed and isolated,,,,,,,No,No,No,No,No,Yes,Yes,Disagree,No,No,Mind,No
118021921753.0,Female,25-34,PAUL,Good,,,Financial constraints,,,,,Relationship Difficulties,,,,,,,,,Financial issues,,,Parenting,,Yes,No,No,No,Sometimes,Sometimes,Maybe,Disagree,Yes,Sometimes,Financial,No
118021921428.0,Female,25-34,PLAZ,Excellent,,Emotional intelligence,,Trauma,Work Life Balance,,Bereavement and Loss,Relationship Difficulties,,Anxiety and Depression,,,Fear of the unknown,Anxiety,Feeling overwhelmed and isolated,,,Relationship issues,Fear of losing my job,,,Yes,No,Yes,No,No,No,Yes,Neutral,No,No,"Grief Loss , Anxiety, Fear of the unknown ",Yes
118021921173.0,Female,25-34,PLAZ,Good,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,Anxiety and Depression,,,,Anxiety,,,,,,,,No,No,No,Sometimes,No,Sometimes,No,Disagree,No,No,Interpersonal relationships ,No
118021920406.0,Female,25-34,PAUL,Good,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,,,Work life balance,Fear of the unknown,,Feeling overwhelmed and isolated,,Financial issues,,,,,Yes,Maybe,Yes,Sometimes,Sometimes,No,Yes,Disagree,No,Sometimes,"work life balance, emotional intelligence, financial issues",No
118021919904.0,Female,35-44,PLAZ,Fair,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,,,Work life balance,,,,,Financial issues,,,,,Yes,No,No,Sometimes,Sometimes,No,No,Disagree,No,Sometimes,Stress management ,No
118021919555.0,Female,25-34,PLAZ,Good,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,Relationship Difficulties,,Anxiety and Depression,,,Fear of the unknown,,,,,,,,,No,No,No,Sometimes,Sometimes,No,No,Agree,No,Sometimes,Life,No
118021918840.0,Female,25-34,PAUL,Good,,,Financial constraints,,,,,,,,,,Fear of the unknown,,,,,,,,,No,No,No,Sometimes,Sometimes,No,Maybe,Disagree,No,Sometimes,Developing more as a person,No
118021918770.0,Male,35-44,PLAZ,Good,Work/job related stressors,,Financial constraints,,Work Life Balance,,,,,Anxiety and Depression,,Work life balance,,,Feeling overwhelmed and isolated,,,,,,,Yes,No,No,Sometimes,No,No,Maybe,Neutral,No,Sometimes,,No
