Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please tick your respective functional unit below,Other (please specify),"Rank the below wellness activities in order of your preference and participation in the year 2024 (1 being the lowest, while 10 being the highest score)",Ranking wellness activities preference and participation(1 least 10 highest) - ZUMBA,Ranking wellness activities preference and participation(1 least 10 highest) - SWIMMING,Ranking wellness activities preference and participation(1 least 10 highest) - HIKING,Ranking wellness activities preference and participation(1 least 10 highest) - CYCLING,Ranking wellness activities preference and participation(1 least 10 highest) - RUNNING,Ranking wellness activities preference and participation(1 least 10 highest) - FOOTBALL,Ranking wellness activities preference and participation(1 least 10 highest) - MEN’ S CAVE,Ranking wellness activities preference and participation(1 least 10 highest) - LADIES CLUB,Ranking wellness activities preference and participation(1 least 10 highest) - BOOK CLUB,Ranking wellness activities preference and participation(1 least 10 highest) - DIET/NUTRITION PROGRAMS,Ranking wellness activities preference and participation(1 least 10 highest) - STAIRCASE/STEP CHALLENGE,Ranking wellness activities preference and participation(1 least 10 highest) - MEDITATION/YOGA/MUSIC,Ranking wellness activities preference and participation(1 least 10 highest) - QUIZ DAYS,Ranking wellness activities preference and participation(1 least 10 highest) - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Wellness activities champion/committee interested joining - ZUMBA,Wellness activities champion/committee interested joining - SWIMMING,Wellness activities champion/committee interested joining - HIKING,Wellness activities champion/committee interested joining - CYCLING,Wellness activities champion/committee interested joining - RUNNING,Wellness activities champion/committee interested joining - FOOTBALL,Wellness activities champion/committee interested joining - MEN'S CAVE,Wellness activities champion/committee interested joining - LADIES CLUB,Wellness activities champion/committee interested joining - BOOK CLUB,Wellness activities champion/committee interested joining - DIET/NUTRITION PROGRAMS,Wellness activities champion/committee interested joining - STAIRCASE/STEP CHALLENGE,Wellness activities champion/committee interested joining - MEDITATION/YOGA/MUSIC,Wellness activities champion/committee interested joining - QUIZ DAYS,Please reflect on the Mental wellness-related issues listed below and tick the areas you would  like us to address in our regular wellness sessions (tick more than one option).,Mental wellness issues requested to adress - Work/job-related stressors,Mental wellness issues requested to adress - Building Healthy families,Mental wellness issues requested to adress - Emotional Wellbeing,Mental wellness issues requested to adress - Financial Wellbeing,"Mental wellness issues requested to adress - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental wellness issues requested to adress - Substance and Drug Dependence,Mental wellness issues requested to adress - Healthy Relationships,Mental wellness issues requested to adress - Unresolved Childhood Difficulties,Mental wellness issues requested to adress - Anxiety and Depression,Mental wellness issues requested to adress - Work-life balance,Mental wellness issues requested to adress - Lifestyle diseases management,Mental wellness issues requested to adress - Effective Parenting skills (Managing children and teenagers),Mental wellness issues requested to adress - Other (please specify),Which of the following training programs would you like to attend?,Training programs interested attending - Mental Health Peer counsellor,Training programs interested attending - Baby minder trainings (training for your nannies),Training programs interested attending - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training programs interested attending - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training programs interested attending - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health & wellbeing clubs interested joining - Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Health & wellbeing clubs interested joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & wellbeing clubs interested joining - Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",Health & wellbeing clubs interested joining - Other (please specify)
114443856499.0,I Agree (Continue with Survey),Female,31-35 years,Sales & Distribution,,9,9,8,6,4,7,3,1,6,5,9,4,7,6,,GYM/AEROBICS,,,,,,,,,,,,,,,Work/job-related stressors,,,Financial Wellbeing,,,,,Anxiety and Depression,,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114443848644.0,I Agree (Continue with Survey),Female,26-30 years,Finance,,1,1,9,9,10,5,2,6,,8,6,8,10,1,,,,SWIMMING,HIKING,CYCLING,RUNNING,,MEN'S CAVE,,BOOK CLUB,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,MEDITATION/YOGA/MUSIC,,,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114443792531.0,I Agree (Continue with Survey),Male,46-50 years,Plant operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114443777345.0,I Agree (Continue with Survey),Male,46-50 years,Plant operations,,1,1,1,1,1,3,1,1,1,1,1,1,3,1,,,,,,,,,MEN'S CAVE,,,,,,,,Work/job-related stressors,,,,,,,,,,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114443749020.0,I Agree (Continue with Survey),Female,31-35 years,Finance,,10,9,9,8,10,10,5,1,10,10,9,10,10,10,,GYM/AEROBICS,,,,,,,,,BOOK CLUB,,,,,,,Building Healthy families,Emotional Wellbeing,,,,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114443763518.0,I Agree (Continue with Survey),Female,41-45 years,Sales & Distribution,,1,1,2,1,1,2,1,,,3,1,1,5,5,,,,,,,,,,,BOOK CLUB,,,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,,,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114443752793.0,I Agree (Continue with Survey),Male,31-35 years,Warehousing,,7,8,7,10,7,6,8,9,,1,8,8,9,8,,GYM/AEROBICS,ZUMBA,SWIMMING,HIKING,CYCLING,,FOOTBALL,MEN'S CAVE,,,,,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,,,Financial Wellbeing,,Substance and Drug Dependence,,,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
114443748516.0,I Agree (Continue with Survey),Male,26-30 years,Procurement,,9,8,4,10,10,10,10,9,1,6,10,10,10,9,,,,,,,,,,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114443741819.0,I Agree (Continue with Survey),Male,46-50 years,Plant operations,,8,7,,,,8,8,7,,10,10,8,10,7,,,,,,,,,,,BOOK CLUB,,,MEDITATION/YOGA/MUSIC,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114443736086.0,I Agree (Continue with Survey),Male,36-40 years,Other (please specify),confidentiality,10,1,9,4,3,4,3,5,1,2,8,5,4,5,,GYM/AEROBICS,,SWIMMING,,,,,,,,,,,QUIZ DAYS,,Work/job-related stressors,,,,,,,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,,,,,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114443731019.0,I Agree (Continue with Survey),Male,31-35 years,Sales & Distribution,,5,1,1,1,4,1,8,1,1,1,1,1,10,1,,,,,,,,,,,,,,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,,,,,,,,,,,,,,Mental Health Peer counsellor,,,,,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,,,
114443721731.0,I Agree (Continue with Survey),Male,26-30 years,Internal Audit,,1,1,1,10,10,10,10,10,1,1,5,1,10,1,,,,SWIMMING,HIKING,CYCLING,RUNNING,FOOTBALL,,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114443717437.0,I Agree (Continue with Survey),Male,46-50 years,Plant operations,,1,1,4,7,3,5,4,6,,4,8,3,2,5,,,,,,,,,MEN'S CAVE,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,Anxiety and Depression,,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114443718376.0,I Agree (Continue with Survey),Female,46-50 years,Warehousing,,,,,,,,,,5,,5,,5,5,,,,,,,,,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,,,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114443717116.0,I Agree (Continue with Survey),Male,36-40 years,Supply Chain,,6,,10,,8,,,10,,8,8,,10,9,,,,SWIMMING,,,,,MEN'S CAVE,,,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,Personal issues,,Building Healthy families,Emotional Wellbeing,,,,Healthy Relationships,,Anxiety and Depression,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114443716142.0,I Agree (Continue with Survey),Female,31-35 years,Commercial,,7,9,1,2,1,1,1,1,10,9,4,6,10,6,,GYM/AEROBICS,ZUMBA,,,,,,,,BOOK CLUB,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,Unresolved Childhood Difficulties,Anxiety and Depression,,Lifestyle diseases management,,,,Mental Health Peer counsellor,Baby minder trainings (training for your nannies),,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114443712622.0,I Agree (Continue with Survey),Male,31-35 years,Sales & Distribution,,10,1,6,7,8,9,2,5,1,9,10,9,10,10,,GYM/AEROBICS,,SWIMMING,HIKING,,,,,,BOOK CLUB,DIET/NUTRITION PROGRAMS,,,,,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,,,Anxiety and Depression,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114443714465.0,I Agree (Continue with Survey),Female,41-45 years,Planning,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,GYM/AEROBICS,,,,,,,,,,,,,,,Work/job-related stressors,,,,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
114443714596.0,I Agree (Continue with Survey),Male,46-50 years,Internal Audit,,10,5,8,10,8,10,5,10,1,5,8,10,5,5,,GYM/AEROBICS,,,HIKING,,,,MEN'S CAVE,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,,,,,,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114443714997.0,I Agree (Continue with Survey),Male,31-35 years,Plant operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114443711970.0,I Agree (Continue with Survey),Male,46-50 years,Warehousing,,10,,,,,10,,,,,10,10,10,10,,GYM/AEROBICS,,,,,,FOOTBALL,MEN'S CAVE,,,DIET/NUTRITION PROGRAMS,,,,Personal issues,Work/job-related stressors,Building Healthy families,,,,Substance and Drug Dependence,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114443711135.0,I Agree (Continue with Survey),Male,50+ years,Warehousing,,6,5,6,5,9,8,6,7,5,7,7,6,7,7,,,,,,CYCLING,,,,,,,,,,,,Building Healthy families,,Financial Wellbeing,,,Healthy Relationships,,,,Lifestyle diseases management,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114443707414.0,I Agree (Continue with Survey),Female,50+ years,MD's office,,1,1,1,1,1,1,1,1,4,7,10,4,10,8,,,,,,,,,,,,,,,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114443708356.0,I Agree (Continue with Survey),Female,36-40 years,Finance,,7,9,10,9,5,3,2,,10,8,10,10,10,7,,,,,,,,,,LADIES CLUB,BOOK CLUB,DIET/NUTRITION PROGRAMS,,,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,,,,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,,Baby minder trainings (training for your nannies),,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114443707487.0,I Agree (Continue with Survey),Female,41-45 years,ICT,,1,1,10,1,1,3,1,1,4,1,3,5,2,3,,,,SWIMMING,,,,,,,,,,,,,,,Emotional Wellbeing,,,,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114443707328.0,I Agree (Continue with Survey),Male,26-30 years,Warehousing,,10,8,6,10,10,10,10,9,8,6,6,9,10,9,,,,,HIKING,CYCLING,RUNNING,,MEN'S CAVE,,,,,MEDITATION/YOGA/MUSIC,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114443611792.0,I Agree (Continue with Survey),Female,41-45 years,HR,,2,2,2,1,1,1,1,1,10,2,10,10,10,10,,,,,,,,,,,,,,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,Substance and Drug Dependence,Healthy Relationships,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,Baby minder trainings (training for your nannies),,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
