Respondent ID,Did you participate in any of the Wellness Month activities or checkups?,"If no, please indicate the reason(s) for not participating: (Select all that apply)",Reason for not participating in wellness activities - Lack of time,Reason for not participating in wellness activities - Not interested,Reason for not participating in wellness activities - Scheduling conflicts,Reason for not participating in wellness activities - Other (please specify),Which wellness checkups or activities did you participate in? (Select all that apply),Wellness Activities participated in - General health checkup,Wellness Activities participated in - Dental checkup,Wellness Activities participated in - Eye examination,Wellness Activities participated in - Mental health counseling,Wellness Activities participated in - Nutritional counseling,Wellness Activities participated in - Other (please specify),How would you score the organization and communication of Wellness Month activities?,How satisfied were you with the following aspects of the wellness checkups and activities?,How satisfied were you with wellness activity - Professionalism of healthcare providers,How satisfied were you with wellness activity - Quality of the services provided,How satisfied were you with wellness activity - Variety of services offered,How satisfied were you with wellness activity - Convenience of service locations,How satisfied were you with wellness activity - Duration of appointments,How would you score your overall experience during Wellness Month?,Did you receive any useful advice or recommendations from the wellness checkups?,"Advice Implementation - If yes, did you implement any of the advice or recommendations?",Do you agree that participating in Wellness Month has had a positive impact on your health and wellbeing?,What additional wellness services or activities would you like to see offered in future Wellness Months?,Do you have any suggestions for improving the current Wellness Month initiative?,Any other comments or feedback about Wellness Month?,How long have you been with the organization?
118665385360.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Average,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Very Disatisfied,Neutral,Yes,Yes,Neutral,Fertility consultation & dermatology,Increase cover for Lead Generators. ,"INCREASE INCREASE INCREASE MEDICAL COVER FOR LEAD GENERATORS ARE WE ARE THE ONES GOING OUT THERE, GETTING THE CLIENTS WHO BRING IN THE MONEY TO OAY FOR PERMANENT STAFF MEDICAL COVERS!!!!!!! INCREASE MEDICAL COVER!!!!!!!!! HOW CAN 10K BE LIMIT OF SOMEONE WITH TWO KIDS!!!!!!!",1 - 3 years
118665386851.0,Yes,,,,,,,General health checkup,,,,,,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Good,Yes,Yes,Agree,,,,1 - 3 years
118665385027.0,Yes,,,,,,,General health checkup,,Eye examination,,Nutritional counseling,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Good,Yes,Yes,Agree,Mental health,The timings limiting for small branches,Engage more especially mental health.  staff and their families are suffering in silence,More than 5 years
118665382077.0,No,,,,,The check-ups are part of my annual check-up done at the end of the year.,None of the above,,,,,,,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Good,,,,,,,
118665386906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118665383660.0,Yes,,,,,,,General health checkup,,Eye examination,,,,Average,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,No,No,Agree,Financial wellness especially of the colleagues having sick people,Doing regular check up within the organization,,1 - 3 years
118665384459.0,Yes,,,,,,,General health checkup,,,,,,Average,Neutral,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Good,Yes,Yes,Agree,none,no,no,1 - 3 years
118665384437.0,No,Not aware of the activities,,,,,,,,,,,,,,,,,,,,,,,,,,
118665377585.0,Yes,,,,,,,,,,,,via Strava and steps pedometer,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,free mental wellness tips,no,no,More than 5 years
118663693730.0,Yes,,,,,,,General health checkup,Dental checkup,,,,,Good,Neutral,Disatisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,MORE ON HEALTHY DIETS,NO,NO,More than 5 years
118665380162.0,Yes,,,,,i participated,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Disatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Good,No,No,Neutral,cervical cancer test,"Proper communication of results should be implemented,one should suggest how they wany to receive the results",no,More than 5 years
118665381241.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,,,,More than 5 years
118665363282.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Good,Yes,Yes,Strongly agree,,,,More than 5 years
118665362990.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Strongly disagree,"The exercise has become a tick box event and the service providers especially Omega Optics inflate their prices, provide different products than what was agreed, the dentist cleaning exposes teeth to sensitivity,the papsmear was negative for every one who tried it in our office so begs the issue of genuinity.If these issues can be fixed,I would not mind participating and additionally leave it open for our families as well to participate. I would also appreciate them checking proactively for other diseases,not just cholestrol-we could have organ health-liver,kidney,etc.Then rotate the providers. And have the providers employees be proffesionals in the field.Not just human capital.",We can have a Q&A of what topics are relevant to colleagues.Incude also mental health sessions-not just bytes of info.,Given in point 12,More than 5 years
118665378817.0,Yes,,,,,,,General health checkup,,Eye examination,,Nutritional counseling,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,ok,none,none,More than 5 years
118665366904.0,Yes,,,,,Participated,,General health checkup,Dental checkup,Eye examination,,,,Very Good,Satisfied,Satisfied,Neutral,Satisfied,Very Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,Mental Health,- In case someone is suffering from some condition; the medical team should do a follow up to see if the patient situation is improving or not.,"- Generally, very good initiative by employer and we appreciate.",1 - 3 years
118665378503.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Satisfied,Satisfied,Neutral,Satisfied,Very Satisfied,Satisfied,Good,Yes,Yes,Agree,mental wellness,,,More than 5 years
118665377833.0,Yes,,,,,,,General health checkup,Dental checkup,,,,,Very Good,,,,,,,,,,,,,,
118665378053.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Good,No,No,Agree,,,,
118665363512.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Average,,,,,,,,,,,,,,
118665378216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118665378179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118665375238.0,Yes,Not aware of the activities,,,,,,General health checkup,Dental checkup,Eye examination,Mental health counseling,Nutritional counseling,,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Good,No,No,Neutral,Okay ,,K,More than 5 years
118665374907.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,WOMEN HEALTH,,,More than 5 years
118665374937.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Satisfied,Neutral,Very Satisfied,Satisfied,Good,Yes,Yes,Agree,,TO START EARLY IN THE DAY,NONE,More than 5 years
118665372670.0,Yes,,,,,,,,,Eye examination,,,,Good,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Good,Yes,Yes,Strongly agree,its ok as it is,,,More than 5 years
118665374879.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118665372188.0,No,,,,Scheduling conflicts,,,,Dental checkup,Eye examination,,,,Good,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,,NO,NO,More than 5 years
118665371064.0,Yes,,,,,na,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Good,Yes,Yes,Strongly agree,skin wellness,no,none,More than 5 years
118665369627.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Average,,,,,,,,,,,,,,
118665369772.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,Lifestyle disease testing like cancer and diabetes,,Very good initiative and keep it up,More than 5 years
118665370628.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,,,,More than 5 years
118665364763.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,Increase the Cost limit to allow for more comprehensive checks currently not covered because of the cost limit of annual checkups.    ,"For wellness challenges, can we factor in a way to measure colleagues who go to the gym as opposed to just walking and calculating steps",Great Initiative to keep Colleagues aware of the importance of taking care of their health,More than 5 years
118665364038.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Good,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Good,Yes,Yes,Agree,anonymous mental wellness sessions.,anonymous mental wellness sessions.,,More than 5 years
118665367375.0,Yes,,,,,,,,,,Mental health counseling,,,Average,Neutral,Satisfied,Neutral,Neutral,Disatisfied,Disatisfied,Neutral,Yes,Yes,Neutral,PHYSICAL ENGAGEMENT,NO,NO,1 - 3 years
118665366708.0,Yes,,,,,,,,,Eye examination,,,,Good,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Yes,Agree,-Issues to with back problems ,More awareness,,More than 5 years
118665365831.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,MENTAL HEALTH,INCLUDE HEALTH TALK ,VERY SATISFIED,More than 5 years
118665367892.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Average,,,,,,,,,,,,,,
118665366101.0,Yes,,,,,na,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,na,none,none,1 - 3 years
118665366480.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,Mental health counseling,Nutritional counseling,,Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Good,Yes,No,Neutral,Vary the wellness activities to avoid monotony of tests/results.,Share tips for mental health at the workplace.  Implement a no-meetings day once in a while.,Thank you for the initiative.,More than 5 years
118665367291.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Very Good,,,,,,,,,,,,,,
118665366067.0,No,,,Not interested,,,None of the above,,,,,,,Poor,Disatisfied,Disatisfied,Disatisfied,Disatisfied,Disatisfied,Disatisfied,Poor,No,No,Disagree,,No,No,More than 5 years
118665364743.0,Yes,,,,,,,General health checkup,,,,,,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,,,,More than 5 years
118665365718.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Very Good,,,,,,,,,,,,,,
118665364422.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Average,Neutral,Disatisfied,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,,,,More than 5 years
118665363963.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,better communication,make it regional,none,More than 5 years
118665364223.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,,,,1 - 3 years
118665364551.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,gym classes in branches,,,3 - 5 years
118665365202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118665362866.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Average,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Good,Yes,Yes,Agree,Overcoming addictions.,Include sub-ordinate staff,to be done bi-annually.,1 - 3 years
118665363129.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Good,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Good,Yes,Yes,Strongly agree,,,,
118665362635.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Poor,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,,,,
118665362146.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,ok,none,none,More than 5 years
118665362152.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,reading materials ,none,none,More than 5 years
118665359503.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Very Good,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,Cancer screening,,none,More than 5 years
118665361375.0,No,,,,Scheduling conflicts,,,,,,,,,,,,,,,,,,,,,,,
118665360559.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,Mental health counseling,Nutritional counseling,,Very Good,Very Disatisfied,Very Disatisfied,Very Disatisfied,Very Disatisfied,Very Disatisfied,Very Disatisfied,Very Good,Yes,Yes,Strongly agree,,,,More than 5 years
118665359432.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,NONE,NONE,"THE WELLNESS ACTIVITY IS A NOBLE ACTIVITY, WE APPRECIATE",1 - 3 years
118665360460.0,Yes,,,,,,,General health checkup,,Eye examination,,,,Good,,,,,,,,,,,,,,
118664365530.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,,,,More than 5 years
118665358782.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,,,OKAY SO FAR,More than 5 years
118665358783.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Good,Satisfied,Disatisfied,Neutral,Neutral,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,,,,More than 5 years
118665360239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118665355582.0,Yes,,,,,,,General health checkup,,Eye examination,,Nutritional counseling,,Good,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Neutral,Good,Yes,Yes,Agree,,,,
118665358887.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Good,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,,,,More than 5 years
118665358701.0,No,Not aware of the activities,,,,,,General health checkup,,,,,,Average,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,No,Neutral,,,,
118665356724.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Good,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Good,Yes,Yes,Strongly agree,,Colleague awareness through  whatsapp and kayas,,1 - 3 years
118665356919.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Neutral,Good,Yes,Yes,Strongly agree,,,,More than 5 years
118665356424.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,Mental health counseling,Nutritional counseling,HIV check and counselling,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,Nothing comes to mind,Stretch time a little. Evening is a challenge for ops colleagues.,"for optical, consider Optica.",More than 5 years
118665356290.0,Yes,,,,,,,General health checkup,,Eye examination,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,covering of blood pressure machines,so far so good keep up the good work,"keep up the promptness of assisting colleagues even when some of you are on leave, they still get time ",More than 5 years
118665358244.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,,,,
118665357794.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,NIA,NONE,NONE,More than 5 years
118665355350.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,,change timing and accommodate shift branches,none,More than 5 years
118665355836.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,"CANCER SCREENIG, breast exam and cervical exam,   ","let it be early in the year, january when card still has cash","Good initiative, keep it up thanks",More than 5 years
118665355682.0,Yes,,,,,,,,,Eye examination,,,,Good,Neutral,Satisfied,Neutral,Neutral,Neutral,Neutral,Good,Yes,Yes,Agree,counselling for those with medical conditions,care calls by the service provider after their services,"inclusivity will be key for disabled colleagues like recognizing them,rewarding and encouraging them",More than 5 years
118665357498.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Good,Yes,Yes,Agree,ok,,,More than 5 years
118665356741.0,Yes,,,,,,,General health checkup,,,,,,Average,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,Follow up counselling after HIV diagnosis.  ,,,More than 5 years
118665356303.0,No,,Lack of time,,,,None of the above,,,,,,,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,diabetes machines,more frequent visit and checkup,good job keep it up,Less than 1 year
118665355432.0,Yes,,,,,,,General health checkup,,,,,,Good,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,Cancer wellness services-Try to cover all types ,None for now,Appreciate Absa for the support given on wellness including mental ,More than 5 years
118665355688.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Good,Yes,Yes,Strongly agree,,,,More than 5 years
118665355769.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Very Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,,,,More than 5 years
118665356627.0,Yes,,,,,,,General health checkup,,Eye examination,,Nutritional counseling,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,none,none,,More than 5 years
118665356315.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Disagree,,,,Less than 1 year
118665356251.0,Yes,,,,,,,,,,Mental health counseling,,,Good,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,,,,More than 5 years
118665357676.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118665355189.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,"Tests for liver, kidneys and heart health.",,,More than 5 years
118665356482.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Yes,Neutral,,,,
118665356404.0,Yes,,,,,,,General health checkup,Dental checkup,,,Nutritional counseling,,Poor,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,"Mental services, cancer screening",,,More than 5 years
118665355455.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,MORE SENSITIZATION TO CREATE AWARENESS.,TO INCORPORATE CSR DURING WELLNESS TO CATER FOR THE AFFECTED IN THE SOCIETY.,TO KEEP UP THE GOOD WORK.,1 - 3 years
118665357447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118665355473.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,ok,,ok,More than 5 years
118665355823.0,Yes,,,,,,,General health checkup,Dental checkup,,,,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,,,,More than 5 years
118665356030.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,,,,,,,
118665356051.0,No,,Lack of time,,Scheduling conflicts,,None of the above,,,,,,,Poor,,,,,,,,,,,,,,
118665355351.0,No,Not aware of the activities,,,,,,General health checkup,Dental checkup,Eye examination,,,,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Yes,Neutral,,,,Less than 1 year
118665355453.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Good,Yes,Yes,Agree,,,,More than 5 years
118665355276.0,Yes,,,,,,,General health checkup,,Eye examination,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,,,,More than 5 years
118665314896.0,Yes,,,,,,,,Dental checkup,,,,,Good,,,,,,,,,,,,,,
118665300991.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Satisfied,Neutral,Very Satisfied,Satisfied,Good,Yes,Yes,Agree,To widen scope for check up. ,Take into consideration the colleagues working from home. ,,More than 5 years
118665287197.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,Should be every quarter process,,,More than 5 years
118665278384.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Good,Yes,Yes,Agree,The coverage is good,none,none,More than 5 years
118665269458.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Good,,,,,,,,,,,,,,
118665259186.0,Yes,,,,,,,General health checkup,Dental checkup,,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,"I wish the Dental/Optical amount would be combined so that you can use the amount as one. In most instances, you exhaust one and never use the other.",no,Its a good initiative and let's keep doing it.,More than 5 years
118665254875.0,Yes,,,,,,,,,,Mental health counseling,,,Very poor,Neutral,Disatisfied,Very Disatisfied,Disatisfied,Satisfied,Disatisfied,Poor,No,No,Disagree,A GYM subscription for all colleagues would be good. It is a selfcare mechanism that will help colleagues deal with their mental issues,,,More than 5 years
118665242956.0,Yes,,,,,,,,Dental checkup,Eye examination,,,,Average,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Yes,Yes,Neutral,Full body checkup at a subsidized rate,mental health awareness should be on the frontline,work life balance should be encouraged/reinforced,More than 5 years
118665225062.0,No,,Lack of time,,Scheduling conflicts,,None of the above,,,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,No,No,Neutral,,,,
118665223609.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Very poor,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Yes,Strongly agree,,,,More than 5 years
118665188876.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Average,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,No,No,Neutral,"mental health, ",flyers around the office. ,designated checkup places for staff,Less than 1 year
118664791840.0,Yes,,,,,,,General health checkup,,Eye examination,,Nutritional counseling,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,Financial Wellness Programs  Wellness Challenges and Initiatives  Health Education Workshops  Stress Management Programs,These checks should occur twice a year,"Good job, Keep it up",More than 5 years
118664765223.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,include cancer screening,,,More than 5 years
118664723078.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118664582829.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,Onboarding of Health and fitness centres with good rates for colleagues in most parts of the country for ease of accessibility ,Send reminders to colleagues of ongoing activites via email and through the different bank whatsapp chat groups,,More than 5 years
118664555530.0,Yes,,,,,,,,Dental checkup,Eye examination,,Nutritional counseling,,Average,Very Satisfied,Satisfied,Satisfied,Neutral,Very Satisfied,Very Satisfied,Good,Yes,Yes,Agree,mental awareness and counselling,include more check up at subsdised rate,none,More than 5 years
118663695920.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Good,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,Full body check ups ,Can we have it twice a year i.e. mid-year and end year,We truly appreciate the thought towards taking care of employee wellness,More than 5 years
118664504461.0,Yes,Not aware of the activities,,,,,None of the above,,,,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,All were covered.,More visibility.,None.,More than 5 years
118664498184.0,No,,Lack of time,,,,None of the above,,,,,,,Good,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Good,Yes,Yes,Neutral,,,,More than 5 years
118664498820.0,Yes,,,,,,,,Dental checkup,,,,,Good,,,,,,,,,,,,,,
118664489201.0,Yes,,,,,,,General health checkup,,,,Nutritional counseling,,Good,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,,,,
118664487366.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
118664483305.0,Yes,,,,,,,General health checkup,,,Mental health counseling,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,MENTAL WELL BEING TO BE DONE MORE OFTEN,BY INVOLVING ALL STAFF BECAUSE MOST OF THE TIME THE BRANCH STAFF DO MISS OUT,,More than 5 years
118664471071.0,No,,,,Scheduling conflicts,,,,Dental checkup,Eye examination,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,Cancer screening,no,thanks,More than 5 years
