Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please select your department from the drop down below,"Rank the below wellness activities in order of your preference and participation in the year 2024 (1 being the lowest, while 10 being the highest score)",Rank of wellness activities preference and participation (1 Least - 10 Highest) - ZUMBA,Rank of wellness activities preference and participation (1 Least - 10 Highest) - SWIMMING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - HIKING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - CYCLING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - RUNNING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - FOOTBALL,Rank of wellness activities preference and participation (1 Least - 10 Highest) - MEN’ S CAVE,Rank of wellness activities preference and participation (1 Least - 10 Highest) - LADIES CLUB,Rank of wellness activities preference and participation (1 Least - 10 Highest) - BOOK CLUB,Rank of wellness activities preference and participation (1 Least - 10 Highest) - DIET/NUTRITION PROGRAMS,Rank of wellness activities preference and participation (1 Least - 10 Highest) - STAIRCASE/STEP CHALLENGE,Rank of wellness activities preference and participation (1 Least - 10 Highest) - MEDITATION/YOGA/MUSIC,Rank of wellness activities preference and participation (1 Least - 10 Highest) - QUIZ DAYS,Rank of wellness activities preference and participation (1 Least - 10 Highest) - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Champion/Committee Interested joining - ZUMBA,Champion/Committee Interested joining - SWIMMING,Champion/Committee Interested joining - HIKING,Champion/Committee Interested joining - CYCLING,Champion/Committee Interested joining - RUNNING,Champion/Committee Interested joining - FOOTBALL,Champion/Committee Interested joining - MEN'S CAVE,Champion/Committee Interested joining - LADIES CLUB,Champion/Committee Interested joining - BOOK CLUB,Champion/Committee Interested joining - DIET/NUTRITION PROGRAMS,Champion/Committee Interested joining - STAIRCASE/STEP CHALLENGE,Champion/Committee Interested joining - MEDITATION/YOGA/MUSIC,Champion/Committee Interested joining - QUIZ DAYS,Please reflect on the Mental wellness-related issues listed below and tick the areas you would  like us to address in our regular wellness sessions (tick more than one option).,Mental Wellness Issue would like addressed - Work/job-related stressors,Mental Wellness Issue would like addressed - Building Healthy families,Mental Wellness Issue would like addressed - Emotional Wellbeing,Mental Wellness Issue would like addressed - Financial Wellbeing,"Mental Wellness Issue would like addressed - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental Wellness Issue would like addressed - Substance and Drug Dependence,Mental Wellness Issue would like addressed - Healthy Relationships,Mental Wellness Issue would like addressed - Unresolved Childhood Difficulties,Mental Wellness Issue would like addressed - Anxiety and Depression,Mental Wellness Issue would like addressed - Work-life balance,Mental Wellness Issue would like addressed - Lifestyle diseases management,Mental Wellness Issue would like addressed - Effective Parenting skills (Managing children and teenagers),Mental Wellness Issue would like addressed - Other (please specify),Which of the following training programs would you like to attend?,Training Program Interested Attending - Mental Health Peer counsellor,Training Program Interested Attending - Baby minder trainings (training for your nannies),Training Program Interested Attending - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training Program Interested Attending - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training Program Interested Attending - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health & Wellbeing Club Interest - Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Health & Wellbeing Club Interest - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & Wellbeing Club Interest - Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",Health & Wellbeing Club Interest - Other (please specify)
118712050907.0,I Agree (Continue with Survey),Male,31-35 years,Internal Audit & Security,3,,2,,5,5,4,,,,,,,,,,,,,CYCLING,,,,,,,,,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,,,,,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118711358085.0,I Agree (Continue with Survey),Male,26-30 years,HVAC [Heating Ventilation & Air Conditioning],6,8,7,10,9,10,9,6,2,9,2,2,2,6,,,,,,,,,,,BOOK CLUB,,,,,,,,,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118711253785.0,I Agree (Continue with Survey),Female,36-40 years,Corporate B2B & Projects,6,8,4,5,7,6,3,1,7,6,8,6,8,6,,,,,,,,,,LADIES CLUB,,,,,,,Work/job-related stressors,,Emotional Wellbeing,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118711250348.0,I Agree (Continue with Survey),Female,26-30 years,HVAC [Heating Ventilation & Air Conditioning],10,4,10,5,1,5,5,,10,10,10,10,5,5,,GYM/AEROBICS,,,,,,,,,,,,,,,,,,,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118711189188.0,I Agree (Continue with Survey),Male,36-40 years,Retail,10,5,2,5,7,7,10,6,,,10,,,,,,,,,,,FOOTBALL,,,,,,,,,,Building Healthy families,,Financial Wellbeing,,,,,,Work-life balance,,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118711120185.0,I Agree (Continue with Survey),Female,26-30 years,Retail,2,1,9,2,4,4,9,1,7,4,4,7,8,7,,,,,,CYCLING,,FOOTBALL,,,,,,,,Personal issues,Work/job-related stressors,,,Financial Wellbeing,,,,,,,,,,Wellness coordinators/ Ambassador for Change,,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118711194435.0,I Agree (Continue with Survey),Female,31-35 years,Corporate B2B & Projects,,,7,3,,9,,,,,,,8,,,GYM/AEROBICS,,SWIMMING,,,,,,,,,,,,,,,,Financial Wellbeing,,,,,,,Lifestyle diseases management,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
118711126339.0,I Agree (Continue with Survey),Female,26-30 years,Marketing,5,5,10,9,6,6,7,1,5,7,2,6,2,5,"Art and craft, walking",,,SWIMMING,HIKING,,,,,,,,,,,,,,,Financial Wellbeing,,,,,,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118711185874.0,I Agree (Continue with Survey),Male,31-35 years,Service Centre,5,,,,,,,,,,,,,,,,,,,,,FOOTBALL,,,,,,,,,,,,,,,Healthy Relationships,,Anxiety and Depression,,,,,,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118711156867.0,I Agree (Continue with Survey),Female,31-35 years,Retail,4,7,9,8,5,6,3,1,7,3,10,6,10,6,,,,SWIMMING,,,,,,,,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,,,Financial Wellbeing,,,Healthy Relationships,,Anxiety and Depression,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118711148893.0,I Agree (Continue with Survey),Female,31-35 years,Corporate B2B & Projects,5,1,5,4,1,7,4,1,1,1,3,5,6,1,,GYM/AEROBICS,,SWIMMING,,,,FOOTBALL,,LADIES CLUB,,,STAIRCASE/STEP CHALLENGE,MEDITATION/YOGA/MUSIC,QUIZ DAYS,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,Baby minder trainings (training for your nannies),,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118711149079.0,I Agree (Continue with Survey),Male,26-30 years,Retail,1,1,1,1,1,1,1,1,,1,1,1,10,1,,GYM/AEROBICS,,,HIKING,CYCLING,,,MEN'S CAVE,,BOOK CLUB,DIET/NUTRITION PROGRAMS,,,QUIZ DAYS,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118711129440.0,I Agree (Continue with Survey),Male,36-40 years,Retail,4,1,5,4,8,10,7,,,,6,,5,,,,,,,,RUNNING,,,,,,,,,,Work/job-related stressors,,,,,,,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118711109579.0,I Agree (Continue with Survey),Male,26-30 years,Service Centre,1,1,1,4,3,10,10,5,,,10,10,10,10,,,,,,,,FOOTBALL,,,,,,,,Personal issues,,,,,,,,,,,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118711108611.0,I Agree (Continue with Survey),Female,26-30 years,Service Centre,9,8,10,10,9,8,2,2,8,9,10,10,10,9,,GYM/AEROBICS,ZUMBA,SWIMMING,HIKING,CYCLING,RUNNING,,,LADIES CLUB,BOOK CLUB,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,MEDITATION/YOGA/MUSIC,,Personal issues,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118711108147.0,I Agree (Continue with Survey),Male,31-35 years,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118711099734.0,I Agree (Continue with Survey),Female,26-30 years,Service Centre,9,6,2,1,1,7,3,,7,3,6,7,9,4,,GYM/AEROBICS,,,,,,,,,,,,MEDITATION/YOGA/MUSIC,,,,,,Financial Wellbeing,,,,,,,,Effective Parenting skills (Managing children and teenagers),,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118711092385.0,I Agree (Continue with Survey),Male,31-35 years,Service Centre,7,4,10,10,10,5,1,6,,,,6,,,,,,SWIMMING,HIKING,CYCLING,,,,,,,,,,,,Building Healthy families,,,,,,,,Work-life balance,,,,,Mental Health Peer counsellor,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
118711094109.0,I Agree (Continue with Survey),Male,26-30 years,Service Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118711090359.0,I Agree (Continue with Survey),Male,31-35 years,Service Centre,1,1,1,1,1,1,1,1,,1,1,1,1,1,,GYM/AEROBICS,,,,,,,MEN'S CAVE,,BOOK CLUB,DIET/NUTRITION PROGRAMS,,,,Personal issues,,Building Healthy families,,Financial Wellbeing,,,,,,,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
118711090773.0,I Agree (Continue with Survey),Female,31-35 years,HR & Admin,,10,1,5,1,1,1,1,7,7,10,9,6,7,,,,,,,,,,,,DIET/NUTRITION PROGRAMS,,,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118711087431.0,I Agree (Continue with Survey),Male,36-40 years,Service Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118711087914.0,I Agree (Continue with Survey),Male,21-25years,Service Centre,,,,,,,5,,,,,,,,,,,,,,,FOOTBALL,,,,,,,,,,,,,,,,,,,Lifestyle diseases management,,,,,,,,,,,,,
118711084434.0,I Agree (Continue with Survey),Male,31-35 years,Service Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118711025270.0,I Agree (Continue with Survey),Female,31-35 years,Service Centre,8,,,,,,,,,,,,,,,GYM/AEROBICS,,,,,,,,,,,,,,,,,,Financial Wellbeing,,,,,,Work-life balance,,,,,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710779334.0,I Agree (Continue with Survey),Female,26-30 years,HR & Admin,10,10,,,,,,,10,,,,10,,,,ZUMBA,,,,,,,LADIES CLUB,,,,,,Personal issues,,,,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,Unresolved Childhood Difficulties,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118710776199.0,I Agree (Continue with Survey),Male,26-30 years,Modern Trade,3,1,5,5,10,1,5,10,,5,10,1,7,4,,,,,,CYCLING,,,,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710750332.0,I Agree (Continue with Survey),Female,31-35 years,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118710735097.0,I Agree (Continue with Survey),Female,31-35 years,Marketing,6,10,8,9,5,4,3,5,10,10,10,7,8,8,,,ZUMBA,,,,,,,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710484529.0,I Agree (Continue with Survey),Male,41-45 years,"Imports, Exports & Bonded Warehouse",5,3,10,8,10,9,7,7,5,10,10,10,9,10,,,,,,,,,,,,,,MEDITATION/YOGA/MUSIC,,,,,,Financial Wellbeing,,,,,,,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
118710486702.0,I Agree (Continue with Survey),Female,26-30 years,Retail,10,9,10,3,5,4,4,,8,10,10,8,8,8,,,ZUMBA,SWIMMING,,,,,,,BOOK CLUB,DIET/NUTRITION PROGRAMS,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,Substance and Drug Dependence,,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710469274.0,I Agree (Continue with Survey),Female,31-35 years,Service Centre,2,2,1,2,2,2,1,1,1,1,2,1,4,2,,,,,,,,,,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,,,Work/job-related stressors,,,,,,Healthy Relationships,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710421446.0,I Agree (Continue with Survey),Female,26-30 years,Retail,,,10,10,,10,,,10,10,5,10,10,10,,,,,HIKING,,,,,LADIES CLUB,BOOK CLUB,,,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710455790.0,I Agree (Continue with Survey),Male,31-35 years,HVAC [Heating Ventilation & Air Conditioning],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118710362376.0,I Agree (Continue with Survey),Female,26-30 years,HVAC [Heating Ventilation & Air Conditioning],1,,5,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,Work/job-related stressors,,,Financial Wellbeing,,,,,,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118710442936.0,I Agree (Continue with Survey),Male,31-35 years,Service Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118710437935.0,I Agree (Continue with Survey),Female,26-30 years,Service Centre,10,10,2,1,1,1,1,1,10,2,10,1,10,1,,GYM/AEROBICS,ZUMBA,,,,,,,LADIES CLUB,,,,MEDITATION/YOGA/MUSIC,,Personal issues,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,,,,,,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710438457.0,I Agree (Continue with Survey),Female,36-40 years,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118710415134.0,I Agree (Continue with Survey),Male,31-35 years,HVAC [Heating Ventilation & Air Conditioning],1,1,1,4,1,1,1,1,1,1,2,9,10,1,,,,,HIKING,CYCLING,,,,,,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,,,,,Financial Wellbeing,,,,,,Work-life balance,Lifestyle diseases management,,,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710414798.0,I Agree (Continue with Survey),Female,26-30 years,Retail,1,1,1,5,5,1,1,1,5,1,1,1,1,1,,,,,HIKING,CYCLING,,,,,,,,,,,Work/job-related stressors,,,Financial Wellbeing,,,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,,Baby minder trainings (training for your nannies),,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710409239.0,I Agree (Continue with Survey),Male,41-45 years,Warehouse,5,9,1,10,10,10,2,8,1,1,10,3,9,10,,,ZUMBA,,,,,,,,,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,,,,,,,,,,,,,,,,,,,,,,,
118710408710.0,I Agree (Continue with Survey),Male,31-35 years,Retail,,,,,10,,10,,,,,,,,,,,,,CYCLING,,FOOTBALL,,,,,,,,,,,,Financial Wellbeing,,,,,Anxiety and Depression,,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710403161.0,I Agree (Continue with Survey),Male,31-35 years,Service Centre,10,,10,10,9,7,10,10,1,,10,9,10,3,,,,,HIKING,,,,,,,,,,,Personal issues,,,,Financial Wellbeing,,,,,Anxiety and Depression,,,,,,,Baby minder trainings (training for your nannies),,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
118710400280.0,I Agree (Continue with Survey),Female,36-40 years,Retail,,,8,,,,,,9,,8,9,,,,,,SWIMMING,,,,,,LADIES CLUB,,DIET/NUTRITION PROGRAMS,,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,Substance and Drug Dependence,Healthy Relationships,,Anxiety and Depression,,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710377598.0,I Agree (Continue with Survey),Female,26-30 years,Marketing,4,4,10,7,2,2,2,1,2,4,2,2,3,4,,GYM/AEROBICS,ZUMBA,SWIMMING,,CYCLING,,,,LADIES CLUB,BOOK CLUB,,,,,,Work/job-related stressors,,,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,Baby minder trainings (training for your nannies),,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710392841.0,I Agree (Continue with Survey),Female,50+ years,Service Centre,1,1,5,2,2,4,1,1,1,8,9,7,5,5,,,,,,,,,,,BOOK CLUB,DIET/NUTRITION PROGRAMS,,,,,,,,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710393709.0,I Agree (Continue with Survey),Male,31-35 years,Finance,10,1,1,10,9,1,5,4,1,4,10,9,4,2,,GYM/AEROBICS,,,HIKING,,,,,,,,,,,,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710390934.0,I Agree (Continue with Survey),Male,31-35 years,Retail,8,8,6,4,10,2,6,7,1,3,6,6,9,5,,,,,,CYCLING,,,,,,DIET/NUTRITION PROGRAMS,,,,,,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,Anxiety and Depression,,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710389308.0,I Agree (Continue with Survey),Male,31-35 years,HVAC [Heating Ventilation & Air Conditioning],5,6,7,9,8,10,9,9,9,8,9,8,7,7,,,,,,,RUNNING,FOOTBALL,,,,,,,,Personal issues,,,Emotional Wellbeing,Financial Wellbeing,,Substance and Drug Dependence,,,,,,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710389870.0,I Agree (Continue with Survey),Female,26-30 years,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118710386891.0,I Agree (Continue with Survey),Male,26-30 years,Service Centre,2,3,1,1,1,6,8,1,1,1,1,1,6,2,,,,,,,RUNNING,FOOTBALL,,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,,,,,,,,Lifestyle diseases management,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118710388109.0,I Agree (Continue with Survey),Male,36-40 years,Internal Audit & Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118710384788.0,I Agree (Continue with Survey),Female,31-35 years,Service Centre,1,1,1,1,1,1,1,1,1,10,5,2,7,4,,,,,,,,,,,BOOK CLUB,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,QUIZ DAYS,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
118710374323.0,I Agree (Continue with Survey),Male,50+ years,Service Centre,7,1,2,1,2,7,3,1,1,1,5,2,7,3,,,,,,,RUNNING,,,,,,,,,,,,,,,,,,,,,Effective Parenting skills (Managing children and teenagers),,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118710375224.0,I Agree (Continue with Survey),Female,21-25years,Modern Trade,,,,,,,,,,,,,,,I haven't participated in activities,,,,,,RUNNING,,,,BOOK CLUB,,,,,,,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118710376881.0,I Agree (Continue with Survey),Female,31-35 years,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
