Respondent ID,Branch,Function,Consent for care call engagement,Please select your gender,Kindly select age group,"Are you aware of the current EWP, including health and wellness initiatives offered by the organization?",Did you participate in the wellness caravan during the wellness month?,"If No to Question 10, please state your reason for not participating","Reflecting on your experiences in 2025, which personal factors have affected your well-being? (Select all that apply.)",Personal Factors Affecting Wellbeing - Career/Education,Personal Factors Affecting Wellbeing - Work Stressors,Personal Factors Affecting Wellbeing - Work-Life Imbalance,Personal Factors Affecting Wellbeing - Gen-Z Protests,Personal Factors Affecting Wellbeing - Marital Issues,Personal Factors Affecting Wellbeing - Financial Challenges,Personal Factors Affecting Wellbeing - Relationship Difficulties,Personal Factors Affecting Wellbeing - Parenting Challenges,Personal Factors Affecting Wellbeing - Anxiety/Depression,Personal Factors Affecting Wellbeing - Traumatic Experiences,Personal Factors Affecting Wellbeing - Loss & Grief,Personal Factors Affecting Wellbeing - Alcohol/Dependency,Personal Factors Affecting Wellbeing - Chronic Diseases,Personal Factors Affecting Wellbeing - Other,"During the year 2025, have you accessed the Employee Assistance Program counselling services?","If No to Question 13, please state your reason for not participating","Based on the current economic developments, what financial empowerment programs would you like to be implemented in the EWP program?",Financial Empowerment - Debt Management,Financial Empowerment - Retirement Planning,Financial Empowerment - Investment,Financial Empowerment - Financial Planning,Financial Empowerment - Other,Which areas of mental health and wellbeing would you propose to be included in the wellness program to address your needs?,Mental Health/Wellbeing Focus - Lifestyle Diseases,Mental Health/Wellbeing Focus - Addiction/Stigma,Mental Health/Wellbeing Focus - Men/Women Forum,Mental Health/Wellbeing Focus - Relationships/Marriages,Mental Health/Wellbeing Focus - Parenting/Childcare,Mental Health/Wellbeing Focus - Awareness Sessions,Mental Health/Wellbeing Focus - Financial Literacy,Mental Health/Wellbeing Focus - Workplace Relationships,Mental Health/Wellbeing Focus - Teens Program,Mental Health/Wellbeing Focus - Other,What would you recommend to the organization to cultivate a healthy work environment that promotes maximum productivity? Please prioritize your suggestions:,"Embrace teamwork among colleagues through employee engagement forums/ sporting activities, team building","Initiate family visit days to the office- e.g., during customer service week…",Improve social support structures among employees/team members,State any other program…,I am interested in the Mental Health Peer Counselling Training Program,I am interested in being trained as a wellness champion,Did you participate in the 2024 survey?,"If you participated in the 2024 survey , what changes have you observed",Any suggestions to include in our next survey?
118940722286,Kitengela Plaza Branch,Lead Generator (LG),Yes,Male,35-44,Yes,No,Wasn't aware of the programme,,"Personal challenges (career growth, education)",Not Selected,Not Selected,Not Selected,Not Selected,Financial challenges,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,Was able to manage challenges,Personal financial management,,,,Financial planning,,,Health and well-being including lifestyle diseases,,,,,Increased awareness sessions on mental health issues,Money matters/Financial coaching and literacy sessions,"Building healthy relationships at work (colleagues, team leaders, managers)",,,Urgent,Urgent,Important,Urgent,,Yes,Yes,No,Wasn't contacted,
118940724498,Garissa,Lead Generator (LG),Yes,Male,35-44,Yes,No,Was not aware of the programme,,"Personal challenges (career growth, education)",Work- and work-related stressors,Not Selected,Not Selected,Not Selected,Financial challenges,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,Was able to manage challenges,Personal financial management,,,,Financial planning,,,Health and well-being including lifestyle diseases,,,,,Increased awareness sessions on mental health issues,Money matters/Financial coaching and literacy sessions,"Building healthy relationships at work (colleagues, team leaders, managers)",,,Urgent,Urgent,Important,Urgent,,Yes,Yes,No,,
118940748010,Sarit Centre Prestige,Lead Generator (LG),Yes,Female,25-34,Yes,No,recently employed,,Not Selected,Work- and work-related stressors,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,no issue,Personal financial management,,,Investment,Financial planning,,,,,Men Cave/Women Forum,Building healthy relationships/marriages,,Increased awareness sessions on mental health issues,,"Building healthy relationships at work (colleagues, team leaders, managers)",,,Urgent,Urgent,Not Important.,Urgent,,Yes,Yes,No,,NONE AT THE MOMENT
118940753975,Thika Branch,Sales,Yes,Female,25-34,Yes,Yes,,,Not Selected,Work- and work-related stressors,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,managing well,,,,,,NONE,,,,,,,,,,,BURNOUT,Important,Important,Important,Important,,Yes,Yes,Yes,none,none
118940751541,Machakos Branch,Ecosystem officer,Yes,Male,25-34,Yes,Yes,,,Not Selected,Not Selected,Not Selected,Gen-Z protests,Not Selected,Financial challenges,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"Chronic Diseases (nuclear family, parents, other extended family members",Not Selected,No,Was able to manage issues,Personal financial management,,Retirement planning,,Financial planning,,,,,Men Cave/Women Forum,,,Increased awareness sessions on mental health issues,Money matters/Financial coaching and literacy sessions,,,,Urgent,Important,Urgent,Urgent,,Yes,Yes,Yes,Collegues being more open as well as better team work,Share the mobile numbers of EAP counselling 
118940757254,Githunguri Branch,Sales,Yes,Female,25-34,Yes,Yes,,,Not Selected,Work- and work-related stressors,Not Selected,Not Selected,Not Selected,Financial challenges,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,MANAGING WELL,Personal financial management,,,,,,,,,,,,Increased awareness sessions on mental health issues,,,,,Important,Important,Urgent,Important,,No,No,No,NONE,NONE
118940763054,JKIA Branch,Lead Generator (LG),Yes,Male,25-34,No,No,Recently employed,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Financial challenges,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,No issue that require counselling,,,Retirement planning,Investment,,,,Health and well-being including lifestyle diseases,,,,,,Money matters/Financial coaching and literacy sessions,,,,Important,Urgent,Important,Urgent,,Yes,Yes,No,,None at the moment
118940771051,Lunga Lunga Square,Bank assurance,Yes,Male,25-34,Yes,No,,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,,,,,,,none,,,,,,,,,,,none,Not Important.,Not Important.,Not Important.,Not Important.,,No,No,Yes,More support from the leaders,
118940771049,Market Branch,Sales,Yes,Female,35-44,Yes,Yes,,,Not Selected,Work- and work-related stressors,Not Selected,Not Selected,Not Selected,Financial challenges,Relationship difficulties,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,FEAR OF CONFIDENTIALITY,,,,Investment,Financial planning,,,Health and well-being including lifestyle diseases,,,,,,,,,,Important,Important,Urgent,Important,,Yes,Yes,Yes,NONE,CARE CALL HAVE REALLY IMPROVED
118940778886,Bishops Gate,Lead Generator (LG),Yes,Female,25-34,Yes,No,Recently employed,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Anxiety and depression,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,,Personal financial management,,Retirement planning,Investment,,,Anxiety/depression,Health and well-being including lifestyle diseases,,,,,,,,,,Important,Important,Urgent,Not Important.,,Yes,Yes,No,,None at the moment
118940792224,"Parkside Tower ""A"" Branch",Sales,Yes,Male,25-34,Yes,No,,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,,Personal financial management,,,,,,,,,,,,,,"Building healthy relationships at work (colleagues, team leaders, managers)",,,Urgent,Important,Not Important.,Important,,Yes,Yes,Yes,Better communication with management,
118940811617,Bishops Gate,Lead Generator (LG),Yes,Female,25-34,Yes,No,Recently employed,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,can reach out                                                                                                                                                                                                                                                                                                                    ,Personal financial management,,,Investment,,,Anxiety/depression,,,Men Cave/Women Forum,Building healthy relationships/marriages,,,,,,,Urgent,Urgent,Important,Urgent,,Yes,Yes,No,,None at the moment  
118940857282,Kisumu Branch,Sales,Yes,Male,25-34,No,No,NEW TO THE ORGANISATION,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,,,,,Investment,,,,,,,,,Increased awareness sessions on mental health issues,,,,,Important,Important,Important,Important,,Yes,Yes,No,NONE,GOOD SO FAR
118940860020,Nakuru West Branch,Sales,Yes,Male,35-44,No,No,NO INFORMATION,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,MANAGING WELL,,,,Investment,,,,,,,,,Increased awareness sessions on mental health issues,,,,,Important,Important,Not Important.,Important,,Yes,Yes,No,NONE,SO FAR SO GOOD
118940862649,Village Market Branch,Sales,Yes,Female,35-44,Yes,Yes,,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Financial challenges,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,MANAGING WELL,,,,,,NONE,,,,,,,Increased awareness sessions on mental health issues,,,,,Important,Important,Important,Important,,Yes,No,Yes,NONE,NONE
118940865030,Market Branch,Sales,Yes,Male,25-34,Yes,No,NO INFORMATION,,"Personal challenges (career growth, education)",Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,I HAVE MADE A BOOKING THROUGH CARE CALL,,,Retirement planning,,,,,,,,,,Increased awareness sessions on mental health issues,,,,,Important,Important,Important,Important,,Yes,,Yes,NONE,NONE
118940860362,Kikuyu Branch,Lead Generator (LG),Yes,Male,25-34,Yes,No,Recently employed,,Not Selected,Work- and work-related stressors,Not Selected,Gen-Z protests,Not Selected,Financial challenges,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,,,,,Investment,Financial planning,,,,,Men Cave/Women Forum,,,,,,,,Urgent,Important,Not Important.,Urgent,,Yes,Yes,No,,
118940867269,Kisumu Branch,Sales,Yes,Male,25-34,Yes,Yes,,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,IVE BEEN GOOD,,Debt management,,,,,,,,,,,Increased awareness sessions on mental health issues,,,,,Important,Important,Urgent,Important,,Yes,Yes,Yes,CONSISTENT WELLNESS CHECKUP,NONE
118940871883,KAMAKIS,Sales,Yes,Female,35-44,Yes,Yes,,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,,,,,Investment,,,,,,,,,Increased awareness sessions on mental health issues,,,,,Important,Important,Important,Important,,Yes,Yes,Yes,NONE,NONE
118940875101,Gilgil Express Branch,Sales,Yes,Female,35-44,Yes,Yes,,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,MANAGING WELL,,,,,,NONE,,,,,,,,,,,NONE,Important,Important,Not Important.,Important,,Yes,Yes,,NONE,PHYSICAL HEALTH WELLNESS
118940877893,Harambee,Lead Generator (LG),Yes,Female,25-34,Yes,No,AWAY FROM THE OFFICE,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,MANAGING WELL,,,,,Financial planning,,,,,,Building healthy relationships/marriages,,,,,,,Important,Important,Important,Important,,Yes,Yes,Yes,NONE,NONE
118940884142,Kericho Branch,Sales,Yes,Male,25-34,Yes,Yes,,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,MANAGING WELL,,,,Investment,,,,,,,,,,Money matters/Financial coaching and literacy sessions,,,,Important,Important,Urgent,Important,,Yes,Yes,Yes,HEALTH WELLNESS,NONE
118940887378,Queensway House,Bancassurance,Yes,Female,25-34,Yes,Yes,,,Not Selected,Work- and work-related stressors,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,BUSY SCHEDULE,,,,,Financial planning,,,,,,,,,,,,BURNOUT,Urgent,Important,Important,Urgent,,Yes,No,No,NONE,NONE
118940890508,Ruaraka Branch,Sales,Yes,Female,25-34,Yes,Yes,,,Not Selected,Work- and work-related stressors,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,MISTRUST,,,,Investment,,,,,,,,,,,,,BURNOUT,Important,Important,Important,Important,,No,No,Yes,POSITIVE CHANGE,NONE
118940893487,Nyali Branch,Bancassurance,Yes,Male,25-34,Yes,Yes,,,"Personal challenges (career growth, education)",Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,MANAGING WELL,,,Retirement planning,,,,,,,,,,Increased awareness sessions on mental health issues,,,,,Important,Important,Important,Important,,No,Yes,Yes,NONE,NONE
118940895749,Meru Branch,Sales,Yes,Male,25-34,Yes,Yes,,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,MANAGING WELL,,,,,,NONE,,,,,,,,,,,NONE,Important,Important,Important,Important,,Yes,Yes,Yes,NONE,NONE
118940914099,Webyuye Branch,Sales,Yes,Male,25-34,Yes,No,ADMITTED TO THE HOSPITAL,,"Personal challenges (career growth, education)",Work- and work-related stressors,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,,,,Retirement planning,,,,,,,,,,,,,,WORK STRESS,Important,Important,Urgent,Important,,Yes,Yes,Yes,WELLNESS,NONE
118941342917,Busia,Lead Generator (LG),Yes,Female,25-34,Yes,No,She was away in the field,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,She has no issue that require counselling ,,,,Investment,Financial planning,,Anxiety/depression,,Dealing with addiction and related stigma,,,Parenting and childcare,,,,,,Urgent,Urgent,Important,Urgent,,Yes,Yes,No,,None at the moment
118941344310,Kitui Branch,Lead Generator (LG),Yes,Male,25-34,Yes,Yes,,,Not Selected,Work- and work-related stressors,Not Selected,Not Selected,Not Selected,Financial challenges,Relationship difficulties,Parenting challenges,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,,Personal financial management,Debt management,,Investment,,,Anxiety/depression,,,Men Cave/Women Forum,Building healthy relationships/marriages,,,,"Building healthy relationships at work (colleagues, team leaders, managers)",,,Important,Urgent,Not Important.,Urgent,,No,No,No,,NO Suggestions
118941352382,Moi Avenue -  Mombasa,Bancassurance,Yes,Male,25-34,Yes,Yes,,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Financial challenges,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,,,,,Investment,,,,,,,,,,Money matters/Financial coaching and literacy sessions,,,,Important,Urgent,Not Important.,Urgent,,No,No,No,,No suggestions
118941419366,Thika Branch,Sales,Yes,Male,45-54,Yes,Yes,,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Financial challenges,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"Chronic Diseases (nuclear family, parents, other extended family members",Not Selected,No,WELLNESS SESSION HAVE BEEN HELPFUL,,,Retirement planning,,,,,Health and well-being including lifestyle diseases,,,,,,,,,,Important,Important,Important,Urgent,,Yes,No,No,NONE,NONE
118941421833,Queensway House,Lead Generator (LG),Yes,Female,35-44,Yes,No,I WAS ON LEAVE,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Loss and Grief,Not Selected,Not Selected,Not Selected,Yes,,,,,Investment,Financial planning,,,,,,,,Increased awareness sessions on mental health issues,Money matters/Financial coaching and literacy sessions,,,,Important,Important,Urgent,Important,,No,No,No,NONE,NONE
118941422928,Bishops Gate,Card Operations,Yes,Female,45-54,Yes,No,CARD INSURANCE LIMIT,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"Chronic Diseases (nuclear family, parents, other extended family members",Not Selected,No,MANAGING WELL,,,Retirement planning,,,,,,,,,,,,,,NONE,Important,Important,Not Important.,Important,,Yes,Yes,No,NONE,NONE
118941424261,Bishops Gate,Marketing & Communication,Yes,Female,35-44,Yes,Yes,,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,,,,,,,NONE,,,,,,,,,,,NONE,Important,Important,Not Important.,Important,,Yes,Yes,Yes,NONE,NOE
118941424157,Premier Flagship,Sales,Yes,Female,25-34,Yes,Yes,,,"Personal challenges (career growth, education)",Work- and work-related stressors,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,NOT INNEED,,,,Investment,,,,,,,,,,Money matters/Financial coaching and literacy sessions,,,,Important,Important,Important,Important,,No,No,Yes,NONE,NO
118941426309,Muthaiga Branch,PRESTIGE,Yes,Female,35-44,Yes,Yes,,,Not Selected,Work- and work-related stressors,Not Selected,Not Selected,Not Selected,Not Selected,Relationship difficulties,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,,,,,,,,,,,,,,,,,,NONE,Urgent,Urgent,Not Important.,Urgent,,No,No,Yes,NONE,NONE
118941427907,Kapsabet Branch,Lead Generator (LG),Yes,Female,45-54,Yes,No,ON LEAVE,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Financial challenges,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,MANAGING WELL,,,Retirement planning,,,,,,,,,,,,,,WORK LIFE INTEGRATION,Important,Important,Urgent,Important,,No,No,Yes,NONE,NONE
118941429223,Kitale Branch,Card Operations,Yes,Male,35-44,Yes,Yes,,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,MANAGING WELL,,,,,,NONE,,,,,,,,,,,NONE,Important,Important,Important,Important,,Yes,Yes,Yes,NONE,NONE
118941428810,Westgate,Lead Generator (LG),Yes,Male,25-34,Yes,No,not around,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Loss and Grief,Not Selected,Not Selected,Not Selected,No,NEW,Personal financial management,,,Investment,,,,,,,,,Increased awareness sessions on mental health issues,,"Building healthy relationships at work (colleagues, team leaders, managers)",,,Urgent,Urgent,Important,Important,,No,No,No,,NONE
118941432750,Kisii Branch,Sales,Yes,Female,35-44,Yes,No,I WAS AWAY ,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,,,,Retirement planning,,,,,,,,,,Increased awareness sessions on mental health issues,,,,,Important,Important,Not Important.,Important,,Yes,No,No,NONE,NONE
118941433599,Harambee,Sales,Yes,Male,35-44,Yes,Yes,,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,MANAGING WELL,,,,,Financial planning,,,,,,,,Increased awareness sessions on mental health issues,,,,,Important,Important,Important,Important,,Yes,Yes,Yes,WELLNESS SESSIONS HAVE BEEN HELPFUL,SATISFIED
118941432515,Bishops Gate,Business Banking,Yes,Female,35-44,Yes,No,,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Financial challenges,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,ABLE TO MANAGE ,Personal financial management,,,,Financial planning,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,MORE WORK,NO
118941434512,Bishops Gate,Marketing & Communication,Yes,Female,25-34,Yes,No,,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,,,,,,,NONE,,,,,,,,,,,NONE,Important,Important,Not Important.,Important,,No,No,No,NONE,NONE
118941436829,Bishops Gate,Business Banking,Yes,Female,35-44,Yes,No,,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Financial challenges,Not Selected,Parenting challenges,Anxiety and depression,Not Selected,Loss and Grief,Not Selected,"Chronic Diseases (nuclear family, parents, other extended family members",Not Selected,,,Personal financial management,Debt management,,Investment,Financial planning,,,,,,,,Increased awareness sessions on mental health issues,Money matters/Financial coaching and literacy sessions,"Building healthy relationships at work (colleagues, team leaders, managers)",,,Important,Urgent,Important,Important,,Yes,Yes,Yes,"MORE MENTAL HEALTH TALKS,  MORE SUPPORT FROM EMPLOYER  ",MORE TALKS ON RELATIONSHIP ISSUES
118941468805,Westgate,Lead Generator (LG),Yes,Male,25-34,Yes,Yes,,,Not Selected,Work- and work-related stressors,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Anxiety and depression,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,ACCESSED LAST YEAR,Personal financial management,,,Investment,Financial planning,,Anxiety/depression,,,,,,,Money matters/Financial coaching and literacy sessions,,,,Urgent,Important,Important,Important,,Yes,Yes,Yes,WORKING PROGRESS,NONE
118941482222,Karen Branch Prestige,Lead Generator (LG),Yes,Female,25-34,Yes,Yes,,,Not Selected,Work- and work-related stressors,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"Chronic Diseases (nuclear family, parents, other extended family members",Not Selected,No,has been sick,,,,,Financial planning,,,Health and well-being including lifestyle diseases,,,,,Increased awareness sessions on mental health issues,,,,,Urgent,Important,Urgent,Important,,No,No,Yes,has not been around,no
118941488541,Eldoret Branch,Lead Generator (LG),Yes,Male,25-34,Yes,Yes,,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Anxiety and depression,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,,,,,,Financial planning,,Anxiety/depression,,,,,,,,,,,Important,Urgent,Urgent,Urgent,,Yes,Yes,Yes,GOOD WORKING ENVIRONMENT,NO
118941512460,Nakuru West Branch,Card Operations,Yes,Female,25-34,Yes,No,just joined,,"Personal challenges (career growth, education)",Work- and work-related stressors,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,NO,Personal financial management,,,,Financial planning,,,,,,,,,Money matters/Financial coaching and literacy sessions,"Building healthy relationships at work (colleagues, team leaders, managers)",,,Urgent,Urgent,Urgent,Urgent,,Yes,Yes,Yes,NO,no
118941522122,Nyeri Branch,Card Operations,Yes,Male,25-34,Yes,No,not sure,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Financial challenges,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,not aware,,,,,Financial planning,,,,,,,,,Money matters/Financial coaching and literacy sessions,,,,Not Important.,Not Important.,Not Important.,Not Important.,,No,No,No,none,no
118941560521,River Road Branch Kianjoya Bulding,Lead Generator (LG),Yes,Female,25-34,Yes,Yes,,,"Personal challenges (career growth, education)",Work- and work-related stressors,Not Selected,Not Selected,Not Selected,Financial challenges,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,NOT INNEED,Personal financial management,Debt management,,,,,,,,,,,,Money matters/Financial coaching and literacy sessions,,,,Urgent,Urgent,Important,Important,,No,No,Yes,FINANCIAL PLANNING,NO
118941571804,Karen Branch Prestige,Lead Generator (LG),Yes,Female,25-34,Yes,No,not around ,,"Personal challenges (career growth, education)",Not Selected,Work-life imbalance,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,will try,,,,Investment,,,,,,,,,Increased awareness sessions on mental health issues,,"Building healthy relationships at work (colleagues, team leaders, managers)",,,Urgent,Urgent,Not Important.,Important,,Yes,Yes,No,Not around,no
118941598287,Kisumu Branch,Lead Generator (LG),Yes,Female,25-34,Yes,No,just joined,,Not Selected,Work- and work-related stressors,Work-life imbalance,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,not ready,Personal financial management,,,,,,,,Dealing with addiction and related stigma,,,,,Money matters/Financial coaching and literacy sessions,,,,Important,Urgent,Important,Urgent,,Yes,Yes,Yes,support,okay
118941611393,Kabarnet Branch,Sales,Yes,Female,35-44,No,Yes,,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,NOT AWARE,,,,,Financial planning,,,,,,,,,Money matters/Financial coaching and literacy sessions,,,,,,,,,No,No,No,,NONE AT THE MOMENT
118941619890,Bishops Gate,Sales,Yes,Male,25-34,Yes,No,new employee,,Not Selected,Not Selected,Not Selected,Gen-Z protests,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,not much information on it ,,,,Investment,,,,,,Men Cave/Women Forum,,,Increased awareness sessions on mental health issues,,,,,Important,Important,Important,Important,,Yes,No,No,joined early in the year,no
118941633611,Nakuru East Branch,Lead Generator (LG),Yes,Male,25-34,Yes,Yes,,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,,,,,Investment,,,,,,,,,,Money matters/Financial coaching and literacy sessions,,,,,,,,,No,Yes,No,,NO
118941648022,Limuru Branch,Sales,Yes,Female,25-34,Yes,No,JOINED IN NOVEMBER,,"Personal challenges (career growth, education)",Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,,Personal financial management,,,,Financial planning,,,,,,,,Increased awareness sessions on mental health issues,,,,,Important,Important,Important,Urgent,,Yes,Yes,No,,NO
