Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please select your respective functional unit from the dropdown below.,"Rank the below wellness activities in order of your preference and participation in the year 2024 (1 being the lowest, while 10 being the highest score)",Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - ZUMBA,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - SWIMMING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - HIKING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - CYCLING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - RUNNING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - FOOTBALL,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - MEN’ S CAVE,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - LADIES CLUB,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - BOOK CLUB,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - DIET/NUTRITION PROGRAMS,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - STAIRCASE/STEP CHALLENGE,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - MEDITATION/YOGA/MUSIC,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - QUIZ DAYS (TRIVIA DAYS),Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Wellness Activity Would Like To Join AS Champion or Committee Member - ZUMBA,Wellness Activity Would Like To Join AS Champion or Committee Member - SWIMMING,Wellness Activity Would Like To Join AS Champion or Committee Member - HIKING,Wellness Activity Would Like To Join AS Champion or Committee Member - CYCLING,Wellness Activity Would Like To Join AS Champion or Committee Member - RUNNING,Wellness Activity Would Like To Join AS Champion or Committee Member - FOOTBALL,Wellness Activity Would Like To Join AS Champion or Committee Member - MEN'S CAVE,Wellness Activity Would Like To Join AS Champion or Committee Member - LADIES CLUB,Wellness Activity Would Like To Join AS Champion or Committee Member - BOOK CLUB,Wellness Activity Would Like To Join AS Champion or Committee Member - DIET/NUTRITION PROGRAMS,Wellness Activity Would Like To Join AS Champion or Committee Member - STAIRCASE/STEP CHALLENGE,Wellness Activity Would Like To Join AS Champion or Committee Member - MEDITATION/YOGA/MUSIC,Wellness Activity Would Like To Join AS Champion or Committee Member - QUIZ DAYS,Please reflect on the Mental wellness-related issues listed below and tick the areas you would  like us to address in our regular wellness sessions (tick more than one option).,Mental Wellness Issues Would Like Addressed - Work/job-related stressors,Mental Wellness Issues Would Like Addressed - Building Healthy families,Mental Wellness Issues Would Like Addressed - Emotional Wellbeing,Mental Wellness Issues Would Like Addressed - Financial Wellbeing,"Mental Wellness Issues Would Like Addressed - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental Wellness Issues Would Like Addressed - Substance and Drug Dependence,Mental Wellness Issues Would Like Addressed - Healthy Relationships,Mental Wellness Issues Would Like Addressed - Unresolved Childhood Difficulties,Mental Wellness Issues Would Like Addressed - Anxiety and Depression,Mental Wellness Issues Would Like Addressed - Work-life balance,Mental Wellness Issues Would Like Addressed - Lifestyle diseases management,Mental Wellness Issues Would Like Addressed - Effective Parenting skills (Managing children and teenagers),Mental Wellness Issues Would Like Addressed - Other (please specify),Which of the following training programs would you like to attend?,Training Programs Interested Attending - Mental Health Peer counsellor,Training Programs Interested Attending - Baby minder trainings (training for your nannies),Training Programs Interested Attending - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training Programs Interested Attending - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training Programs Interested Attending - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health & Wellbeing Clubs Interested Joining - Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Health & Wellbeing Clubs Interested Joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & Wellbeing Clubs Interested Joining - Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",Health & Wellbeing Clubs Interested Joining - Other (please specify)
118804977776.0,I Agree (Continue with Survey),Female,31-35 years,Customer Relations,10,10,1,1,10,10,1,1,10,10,5,2,10,10,,GYM/AEROBICS,ZUMBA,,,,,,,,,,,,QUIZ DAYS,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118804974157.0,I Agree (Continue with Survey),Male,41-45 years,Business Development,9,8,,,9,,9,,,,,,,8,,,,,,CYCLING,,,,,,,,,,,Work/job-related stressors,,,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118804976722.0,I Agree (Continue with Survey),Female,26-30 years,Customer Relations,10,3,7,3,6,2,2,2,10,10,9,7,7,8,,,,,,,,,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,,,,,,Anxiety and Depression,Work-life balance,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118804976239.0,I Agree (Continue with Survey),Male,31-35 years,Technology,,,10,,,,,,,,,,,,,,,SWIMMING,,,,,,,,,,,,,,,,,,,Healthy Relationships,,,,,,,,,,,,,,,,,
118804976663.0,I Agree (Continue with Survey),Male,26-30 years,Hospital Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118804975924.0,I Agree (Continue with Survey),Male,26-30 years,Technology,1,1,1,9,10,1,6,6,1,6,6,1,5,5,Walking 10,,,,HIKING,CYCLING,,FOOTBALL,,,,,,,QUIZ DAYS,,,,Emotional Wellbeing,Financial Wellbeing,,,,,Anxiety and Depression,Work-life balance,,,,,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118795604792.0,I Agree (Continue with Survey),Female,36-40 years,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118804973344.0,I Agree (Continue with Survey),Female,36-40 years,Marketing,6,10,7,3,2,5,1,1,9,,10,9,10,,,,ZUMBA,,,,,,,LADIES CLUB,,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,,,,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118804971759.0,I Agree (Continue with Survey),Female,50+ years,Operations,,,6,,,4,,,,,9,,,,,,,,,,,,,,,DIET/NUTRITION PROGRAMS,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,,,Lifestyle diseases management,,,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
118804973253.0,I Agree (Continue with Survey),Male,26-30 years,Hospital Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118804965884.0,I Agree (Continue with Survey),Male,31-35 years,Hospital Operations,5,4,1,9,9,7,5,7,,6,7,7,7,8,,,,,HIKING,,,,,,,,,,,,,Building Healthy families,,,,,,,,,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118804964804.0,I Agree (Continue with Survey),Male,36-40 years,Hospital Operations,9,1,1,1,1,9,1,1,1,1,8,1,10,1,,GYM/AEROBICS,,,,,RUNNING,FOOTBALL,,,,,,,,,,,,Financial Wellbeing,,,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118804962988.0,I Agree (Continue with Survey),Female,31-35 years,Customer Experience,9,10,10,3,10,7,7,3,6,4,7,5,9,4,,GYM/AEROBICS,,SWIMMING,,CYCLING,,,,LADIES CLUB,,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,Baby minder trainings (training for your nannies),,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118804959303.0,I Agree (Continue with Survey),Male,31-35 years,Technology,6,5,3,2,2,8,2,1,1,5,7,5,7,5,,GYM/AEROBICS,,SWIMMING,,,RUNNING,,,,,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,QUIZ DAYS,,,,Emotional Wellbeing,,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118804964714.0,I Agree (Continue with Survey),Male,26-30 years,Customer Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118804960540.0,I Agree (Continue with Survey),Female,36-40 years,Technology,10,9,5,5,5,8,1,1,4,5,10,8,7,9,,,,,,,,,,,,,,,,,Work/job-related stressors,,,Financial Wellbeing,,,,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,Baby minder trainings (training for your nannies),,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118804959185.0,I Agree (Continue with Survey),Male,26-30 years,Technology,8,,5,9,6,4,,8,,6,9,,,,,GYM/AEROBICS,,SWIMMING,HIKING,CYCLING,,,MEN'S CAVE,,,DIET/NUTRITION PROGRAMS,,,,,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,,,,,,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118804959284.0,I Agree (Continue with Survey),Male,31-35 years,Business Development,10,,,9,,10,7,,,,,,,,,GYM/AEROBICS,,,,,,,,,,,,,,,,Building Healthy families,,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,,Work-life balance,,,,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118804959018.0,I Agree (Continue with Survey),Female,21-25years,Customer Experience,5,10,5,5,5,5,5,10,10,10,10,1,10,10,,,ZUMBA,,,,,,,,,DIET/NUTRITION PROGRAMS,,,QUIZ DAYS,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,Anxiety and Depression,,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118804958181.0,I Agree (Continue with Survey),Male,26-30 years,Hospital Operations,,,,5,,,,,,5,,,,,,,,,,,,,,,BOOK CLUB,,,MEDITATION/YOGA/MUSIC,QUIZ DAYS,,Work/job-related stressors,,Emotional Wellbeing,,,,Healthy Relationships,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118804956728.0,I Agree (Continue with Survey),Male,31-35 years,Customer Relations,10,10,1,10,10,10,10,10,1,1,10,10,10,1,,,,,,,,FOOTBALL,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,,Work-life balance,,,,,Mental Health Peer counsellor,,,,,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,,,
118804954899.0,I Agree (Continue with Survey),Male,26-30 years,Operations,7,7,5,1,4,6,7,1,1,5,7,5,1,8,,,,,,,,FOOTBALL,,,,,,,,,,,,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
118804956780.0,I Agree (Continue with Survey),Male,31-35 years,Hospital Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118804954994.0,I Agree (Continue with Survey),Male,26-30 years,Hospital Operations,1,1,1,10,4,8,10,10,1,1,8,10,10,10,,GYM/AEROBICS,,SWIMMING,HIKING,,,FOOTBALL,,,,,,MEDITATION/YOGA/MUSIC,,,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,Anxiety and Depression,Work-life balance,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118804954693.0,I Agree (Continue with Survey),Female,36-40 years,Business Development,,1,,,,,,,,,4,,10,,,GYM/AEROBICS,,,,,,,,,,,,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,,Emotional Wellbeing,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,Anxiety and Depression,Work-life balance,,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118804955032.0,I Agree (Continue with Survey),Male,36-40 years,Technology,8,1,10,10,10,10,5,1,1,1,10,4,3,1,,GYM/AEROBICS,,SWIMMING,HIKING,CYCLING,,,,,,DIET/NUTRITION PROGRAMS,,,,Personal issues,Work/job-related stressors,,,Financial Wellbeing,,Substance and Drug Dependence,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118804954165.0,I Agree (Continue with Survey),Male,36-40 years,Technology,5,5,1,10,10,8,10,10,1,1,1,10,5,1,,,,,,CYCLING,,,,,,,,,,,Work/job-related stressors,,,,,,,,,Work-life balance,,,,,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118804950660.0,I Agree (Continue with Survey),Male,26-30 years,Marketing,10,5,10,9,9,5,10,9,,,10,6,6,6,,GYM/AEROBICS,,,,,,,,,,DIET/NUTRITION PROGRAMS,,,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118804950859.0,I Agree (Continue with Survey),Female,36-40 years,Finance,1,1,1,1,1,10,4,1,1,5,8,10,1,1,,GYM/AEROBICS,,SWIMMING,,,RUNNING,,,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,,,,,,Financial Wellbeing,,,,,,,,,,Wellness coordinators/ Ambassador for Change,,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
118804952508.0,I Agree (Continue with Survey),Female,41-45 years,Operations,5,1,7,1,1,1,1,1,,4,6,1,1,1,,,,SWIMMING,,,,,,,,,,,,,,,,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118804951806.0,I Agree (Continue with Survey),Male,31-35 years,Marketing,2,,2,,,3,3,1,,1,1,6,1,1,,,,,,,,FOOTBALL,,,,,,,,,,,,,,,,,,Work-life balance,,,,,,Baby minder trainings (training for your nannies),,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118804950767.0,I Agree (Continue with Survey),Male,36-40 years,Business Development,10,,9,,,,6,9,,,,,9,,,GYM/AEROBICS,,SWIMMING,,,,,,,,,,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,,,,,,,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118804951930.0,I Agree (Continue with Survey),Male,21-25years,Finance,10,1,8,7,8,7,1,10,10,4,2,2,9,6,,GYM/AEROBICS,,SWIMMING,HIKING,CYCLING,,,,,,,,,,,Work/job-related stressors,,,,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118804950893.0,I Agree (Continue with Survey),Male,41-45 years,Technology,2,1,2,3,1,2,4,1,1,1,1,1,1,2,Scrabble,,,,,,,,,,,,,,QUIZ DAYS,Personal issues,Work/job-related stressors,,,,,,,,,,,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,,.
118802893976.0,I Agree (Continue with Survey),Male,21-25years,Hospital Operations,3,2,5,5,8,8,8,7,,10,10,5,7,10,,,,,,CYCLING,,,,,BOOK CLUB,,,,QUIZ DAYS,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118799368221.0,I Agree (Continue with Survey),Male,31-35 years,Hospital Operations,1,1,1,1,1,1,1,1,,5,5,5,5,2,,GYM/AEROBICS,,,,,RUNNING,,MEN'S CAVE,,,DIET/NUTRITION PROGRAMS,,,,Personal issues,,,,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118799366357.0,I Agree (Continue with Survey),Male,31-35 years,Customer Relations,5,5,4,6,5,7,9,9,1,9,3,6,2,7,,,,,,,RUNNING,FOOTBALL,,,BOOK CLUB,,STAIRCASE/STEP CHALLENGE,,QUIZ DAYS,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
118799342876.0,I Agree (Continue with Survey),Female,26-30 years,Technology,9,10,1,7,1,1,1,1,9,8,10,6,9,6,,GYM/AEROBICS,ZUMBA,,,,,,,,,,,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,Anxiety and Depression,,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118798574571.0,I Agree (Continue with Survey),Female,36-40 years,Customer Relations,,9,,,,,,,,10,,10,,,,,,,,,,,,LADIES CLUB,,,,,,,,,,,,,,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,,Baby minder trainings (training for your nannies),,,,,,,,
118797802379.0,I Agree (Continue with Survey),Male,21-25years,Hospital Operations,1,1,1,1,1,1,8,1,1,1,1,1,1,1,,,,SWIMMING,HIKING,CYCLING,,FOOTBALL,,,,,,,,,Work/job-related stressors,,,,,,Healthy Relationships,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118797826219.0,I Agree (Continue with Survey),Male,26-30 years,Technology,2,2,1,9,5,5,4,4,1,7,7,7,8,3,,GYM/AEROBICS,,,HIKING,CYCLING,,,,,,,,,,,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,,,,,,,,,,,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118797659369.0,I Agree (Continue with Survey),Female,21-25years,Hospital Operations,9,1,5,1,5,9,1,1,1,1,10,1,10,1,,GYM/AEROBICS,,,,,RUNNING,,,,,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,,,,,Financial Wellbeing,,,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118797646191.0,I Agree (Continue with Survey),Female,36-40 years,Finance,10,9,6,6,2,2,8,,9,10,8,6,9,9,,,,,,,,,,LADIES CLUB,,,,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,Anxiety and Depression,Work-life balance,,,,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118797169470.0,I Agree (Continue with Survey),Male,26-30 years,Hospital Operations,3,2,1,3,1,2,1,1,1,5,1,2,1,4,,,,,,,,,,,BOOK CLUB,,,,QUIZ DAYS,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,,,,,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118796790784.0,I Agree (Continue with Survey),Male,36-40 years,Customer Experience,1,1,1,1,1,1,2,1,,1,1,1,1,1,,,,,,CYCLING,,FOOTBALL,MEN'S CAVE,,,,STAIRCASE/STEP CHALLENGE,,,Personal issues,,,Emotional Wellbeing,Financial Wellbeing,,Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118796380381.0,I Agree (Continue with Survey),Female,36-40 years,Technology,8,1,8,8,1,1,1,1,1,1,6,6,1,1,,,,,,,,,,LADIES CLUB,BOOK CLUB,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,Baby minder trainings (training for your nannies),Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118796273699.0,I Agree (Continue with Survey),Female,31-35 years,Customer Experience,2,1,2,2,1,3,1,1,1,2,2,3,5,4,,,,,HIKING,,,,,,,,,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118795873614.0,I Agree (Continue with Survey),Male,26-30 years,Technology,9,7,10,,5,8,,4,,2,1,6,3,,,GYM/AEROBICS,,SWIMMING,,,,,,,,,,,,,Work/job-related stressors,,,,,,,,,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118795890155.0,I Agree (Continue with Survey),Male,31-35 years,Technology,8,1,,9,3,4,10,7,,,5,3,8,,,,,,HIKING,,,FOOTBALL,MEN'S CAVE,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
