Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please select your respective City/Town of operation,Rank the below wellness activities in order of your preference and participation in the year 2025 (with 1 being the lowest score and 10 the highest).,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - ZUMBA,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - SWIMMING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - HIKING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - CYCLING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - RUNNING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - FOOTBALL,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - MEN’ S CAVE,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - LADIES CLUB,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - BOOK CLUB,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - DIET/NUTRITION PROGRAMS,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - STAIRCASE/STEP CHALLENGE,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - MEDITATION/YOGA/MUSIC,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - QUIZ DAYS,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Would Like To Join as Champion or Committee Member - ZUMBA,Would Like To Join as Champion or Committee Member - SWIMMING,Would Like To Join as Champion or Committee Member - HIKING,Would Like To Join as Champion or Committee Member - CYCLING,Would Like To Join as Champion or Committee Member - RUNNING,Would Like To Join as Champion or Committee Member - FOOTBALL,Would Like To Join as Champion or Committee Member - MEN'S CAVE,Would Like To Join as Champion or Committee Member - LADIES CLUB,Would Like To Join as Champion or Committee Member - BOOK CLUB,Would Like To Join as Champion or Committee Member - DIET/NUTRITION PROGRAMS,Would Like To Join as Champion or Committee Member - STAIRCASE/STEP CHALLENGE,Would Like To Join as Champion or Committee Member - MEDITATION/YOGA/MUSIC,Would Like To Join as Champion or Committee Member - QUIZ DAYS,Would Like To Join as Champion or Committee Member - Other (please specify),"Please reflect on the Mental wellness-related issues listed below and tick the areas you would like us to address in our regular wellness sessions (where applicable, tick more than one option).",Mental Wellness Issues Would Like Addressed - Work/job-related stressors,Mental Wellness Issues Would Like Addressed - Building Healthy families,Mental Wellness Issues Would Like Addressed - Emotional Wellbeing,Mental Wellness Issues Would Like Addressed - Financial Wellbeing,"Mental Wellness Issues Would Like Addressed - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental Wellness Issues Would Like Addressed - Substance and Drug Dependence,Mental Wellness Issues Would Like Addressed - Healthy Relationships,Mental Wellness Issues Would Like Addressed - Unresolved Childhood Difficulties,Mental Wellness Issues Would Like Addressed - Anxiety and Depression,Mental Wellness Issues Would Like Addressed - Work-life balance,Mental Wellness Issues Would Like Addressed - Lifestyle diseases management,Mental Wellness Issues Would Like Addressed - Effective Parenting skills (Managing children and teenagers),Mental Wellness Issues Would Like Addressed - Other (please specify),Which of the following training programs would you like to attend?,Training Programs Would Like To Attend - Mental Health Peer counsellor,Training Programs Would Like To Attend - Baby minder trainings (training for your nannies),Training Programs Would Like To Attend - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training Programs Would Like To Attend - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training Programs Would Like To Attend - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health & Wellbeing Clubs Interested Joining - Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Health & Wellbeing Clubs Interested Joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & Wellbeing Clubs Interested Joining - Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",Health & Wellbeing Clubs Interested Joining - Other (please specify),Do you have a preferred gym?,"Please state the name, location and phone number of your preferred gym.",Location
118863081969.0,I Agree (Continue with Survey),Male,41-45 years,Nairobi,10,7,10,5,1,10,10,1,,,,10,10,8,,GYM/AEROBICS,ZUMBA,SWIMMING,,,RUNNING,FOOTBALL,,,,,STAIRCASE/STEP CHALLENGE,,,,,,,,,,,,,,Work-life balance,,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,The Smith,Magadi Road
118863084841.0,I Agree (Continue with Survey),Female,41-45 years,Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118863083104.0,I Agree (Continue with Survey),Female,31-35 years,Nairobi,10,9,7,5,1,4,1,1,10,10,10,10,10,8,,GYM/AEROBICS,,,,,,,,,,DIET/NUTRITION PROGRAMS,,,,,Personal issues,,,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,Smart Gym,Nairobi
118863080126.0,I Agree (Continue with Survey),Male,46-50 years,Nairobi,10,2,9,10,5,7,2,5,1,10,10,7,10,10,,,,,,,,,,,BOOK CLUB,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,Baby minder trainings (training for your nannies),Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,Smart Gyms,The Hub - Karen
118863081164.0,I Agree (Continue with Survey),Male,26-30 years,Mombasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118863080103.0,I Agree (Continue with Survey),Male,31-35 years,Nairobi,10,7,10,10,10,5,5,6,1,1,8,7,2,3,,,,SWIMMING,HIKING,,,,,,,,,,,,,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,,,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,No,,
118863073007.0,I Agree (Continue with Survey),Female,41-45 years,Nairobi,10,8,10,,6,,,,6,,7,6,,,,GYM/AEROBICS,,SWIMMING,,,,,,,,,,,,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,Impala club,"Ngong Road, Nairobi"
118863074877.0,I Agree (Continue with Survey),Male,50+ years,Mombasa,10,2,10,9,4,9,10,3,,9,10,6,10,7,,GYM/AEROBICS,,SWIMMING,,,RUNNING,FOOTBALL,,,,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,,,,,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,No,,
118863075114.0,I Agree (Continue with Survey),Male,41-45 years,Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118863069274.0,I Agree (Continue with Survey),Male,36-40 years,Nanyuki,10,1,8,9,9,10,10,1,1,1,1,1,1,1,,GYM/AEROBICS,,SWIMMING,HIKING,CYCLING,RUNNING,FOOTBALL,,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,,,,,,,Work-life balance,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,Nanyuki Sports Club,Nanyuki 
118863068233.0,I Agree (Continue with Survey),Female,36-40 years,Nairobi,10,10,10,1,8,8,1,1,1,1,8,9,1,1,,,ZUMBA,,,,,,,,,,,,,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,Golden Gym Fitness,"Mountain View Mall, Rooftop, Waiyaki Way"
118863066142.0,I Agree (Continue with Survey),Female,31-35 years,Nairobi,10,1,6,7,9,9,1,1,8,10,10,1,1,1,,GYM/AEROBICS,,,,,,,,,BOOK CLUB,,,,,,,,,,Financial Wellbeing,,,,,,,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,,Yes,Sosh Fitness,"Sabaki, Athi River - signature mall"
118863065700.0,I Agree (Continue with Survey),Female,36-40 years,Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
